"matchup","player","points","total_advancements"
"1A","NottAntoo",1,66
"1A","TigerMCSR",14,178
"1A","dbowzer",5,122
"1A","draconix6",5,115
"1A","hackingnoisess",7,131
"1A","oxidiot",13,177
"1B","7rowl",11,171
"1B","ANTOlNE",4,96
"1B","iinterp",5,116
"1B","infume",15,182
"1B","jakkeboy3651",7,135
"1B","maskers_",3,98
"1C","AutomattPLUS",2,91
"1C","Feinberg",15,190
"1C","danterustv",3,99
"1C","fudge1",8,137
"1C","joshteautwins",6,129
"1C","okrzej1",11,174
"1D","SuperC__",15,179
"1D","chrisXD",10,149
"1D","hasbi123412",1,82
"1D","retropog",6,131
"1D","silverrruns",10,160
"1D","waluyoshi",3,107
"1E","Boosfer",4,107
"1E","Erikfzf",10,161
"1E","Snakezy",11,155
"1E","bigbigmongey",7,143
"1E","blakwolf_",9,154
"1E","suravil_",4,121
"1F","Joomzzzz",13,171
"1F","Queenkac",10,146
"1F","T_Wagz",3,99
"1F","Valdaren",2,86
"1F","dandannyboy",10,162
"1F","frankey32_",7,142
"2A","Boosfer",5,101
"2A","draconix6",9,133
"2A","frankey32_",12,163
"2A","joshteautwins",9,143
"2A","maskers_",6,123
"2A","waluyoshi",4,108
"3A","7rowl",2,82
"3A","OliverSR",0,0
"3A","Queenkac",5,137
"3A","Snakezy",13,182
"3A","hackingnoisess",12,179
"3A","infume",10,174
"3A","okrzej1",3,113
