"match_id","player","standing","scheduled_time","time","duration","time_ms","duration_ms","advancement","ranked_event","n_advancements"
"1A3","oxidiot",2,00:36:00,00:36:24.312,00:00:24.312,2184312,24311,"Sniper Duel",NA,51
"1A3","hackingnoisess",4,00:36:00,00:36:24.312,00:00:24.312,2184312,24311,NA,"eliminate",50
"1A3","TigerMCSR",1,01:00:00,01:00:30.606,00:00:30.606,3630606,30606,"The End... Again...",NA,65
"1A3","oxidiot",2,01:00:00,01:00:30.606,00:00:30.606,3630606,30606,NA,"eliminate",64
"1B1","infume",1,00:12:00,00:12:18.197,00:00:18.197,738197,18197,"The End?",NA,29
"1B1","ANTOlNE",5,00:12:00,00:12:22.289,00:00:22.289,742289,22288,"Tactical Fishing",NA,29
"1B1","maskers_",6,00:12:00,00:12:22.290,00:00:22.290,742290,22289,NA,"eliminate",28
"1B1","jakkeboy3651",2,00:48:00,00:48:07.008,00:00:07.008,2887008,7007,"Withering Heights",NA,61
"1B1","infume",1,00:48:00,00:48:13.438,00:00:13.438,2893438,13438,"Withering Heights",NA,61
"1B1","7rowl",3,00:48:00,00:48:13.438,00:00:13.438,2893438,13438,NA,"eliminate",60
"1C2","fudge1",5,00:12:00,00:12:02.340,00:00:02.340,722340,2340,"Into Fire",NA,30
"1C2","danterustv",6,00:12:00,00:12:02.340,00:00:02.340,722340,2340,NA,"eliminate",29
"1C2","joshteautwins",3,00:36:00,00:36:02.069,00:00:02.069,2162069,2068,"Subspace Bubble",NA,51
"1C2","AutomattPLUS",4,00:36:00,00:36:02.070,00:00:02.070,2162070,2070,NA,"eliminate",50
"1C3","okrzej1",3,00:36:00,00:36:33.266,00:00:33.266,2193266,33266,"Return to Sender",NA,50
"1C3","danterustv",4,00:36:00,00:36:33.267,00:00:33.267,2193267,33266,NA,"eliminate",49
"1D1","waluyoshi",4,00:24:00,00:24:21.720,00:00:21.720,1461720,21720,"Sniper Duel",NA,44
"1D1","retropog",5,00:24:00,00:24:21.720,00:00:21.720,1461720,21720,NA,"eliminate",43
"1D1","SuperC__",1,01:00:00,01:00:11.598,00:00:11.598,3611598,11597,"Spooky Scary Skeleton",NA,65
"1D1","chrisXD",2,01:00:00,01:00:11.598,00:00:11.598,3611598,11597,NA,"eliminate",64
"1D2","retropog",4,00:24:00,00:24:12.263,00:00:12.263,1452263,12262,"The Next Generation",NA,42
"1D2","hasbi123412",5,00:24:00,00:24:12.263,00:00:12.263,1452263,12262,NA,"eliminate",41
"1D2","chrisXD",2,00:48:00,00:49:05.348,00:01:05.348,2945348,65347,"Arbalistic",NA,57
"1D2","silverrruns",3,00:48:00,00:49:05.348,00:01:05.348,2945348,65347,NA,"eliminate",56
"1E1","suravil_",4,00:12:00,00:12:22.451,00:00:22.451,742451,22451,"Eye Spy",NA,33
"1E1","Erikfzf",2,00:12:00,00:12:44.404,00:00:44.404,764404,44404,"Eye Spy",NA,33
"1E1","Boosfer",6,00:12:00,00:12:44.405,00:00:44.405,764405,44404,NA,"eliminate",32
"1E1","Erikfzf",2,00:48:00,00:50:06.269,00:02:06.269,3006269,126268,"Serious Dedication",NA,62
"1E1","blakwolf_",3,00:48:00,00:50:06.269,00:02:06.269,3006269,126268,NA,"eliminate",61
"1E2","blakwolf_",5,00:12:00,00:12:04.003,00:00:04.003,724003,4003,"Suit Up",NA,32
"1E2","suravil_",6,00:12:00,00:12:04.004,00:00:04.004,724004,4004,NA,"eliminate",31
"1E3","suravil_",4,00:12:00,00:12:58.824,00:00:58.824,778824,58823,"Fishy Business",NA,32
"1E3","Boosfer",6,00:12:00,00:12:58.825,00:00:58.825,778825,58825,NA,"eliminate",31
"1E3","Erikfzf",2,00:48:00,00:48:05.757,00:00:05.757,2885757,5757,"Withering Heights",NA,59
"1E3","bigbigmongey",3,00:48:00,00:48:05.757,00:00:05.757,2885757,5757,NA,"eliminate",58
"1F1","Queenkac",2,00:48:00,00:48:58.411,00:00:58.411,2938411,58411,"Hidden in the Depths",NA,61
"1F1","frankey32_",3,00:48:00,00:48:58.411,00:00:58.411,2938411,58411,NA,"eliminate",60
"2A1","frankey32_",2,00:48:00,00:48:36.545,00:00:36.545,2916545,36545,"Sniper Duel",NA,53
"2A1","waluyoshi",3,00:48:00,00:48:36.545,00:00:36.545,2916545,36545,NA,"eliminate",52
"3A1","hackingnoisess",1,00:36:00,00:36:18.632,00:00:18.632,2178632,18632,"A Throwaway Joke",NA,57
"3A1","Queenkac",4,00:36:00,00:36:18.632,00:00:18.632,2178632,18632,NA,"eliminate",56
"3A1","hackingnoisess",1,01:00:00,01:06:19.346,00:06:19.346,3979346,379346,"A Complete Catalogue",NA,69
"3A1","infume",2,01:00:00,01:06:19.347,00:06:19.347,3979347,379347,NA,"eliminate",68
"3A2","okrzej1",3,00:24:00,00:25:01.956,00:01:01.956,1501956,61955,"Sniper Duel",NA,48
"3A2","Queenkac",5,00:24:00,00:25:01.956,00:01:01.956,1501956,61955,NA,"eliminate",47
"3A2","hackingnoisess",2,00:36:00,00:36:15.742,00:00:15.742,2175742,15742,"Hidden in the Depths",NA,57
"3A2","infume",4,00:36:00,00:36:15.743,00:00:15.743,2175743,15742,NA,"eliminate",56
