"match_id","player","standing","time","advancement","ranked_event","n_advancements","time_ms"
"1A1","dbowzer",5,00:00:10.333,"A Seedy Place",NA,1,10333
"1A1","draconix6",4,00:00:12.152,"A Seedy Place",NA,1,12152
"1A1","TigerMCSR",2,00:00:12.339,"A Seedy Place",NA,1,12339
"1A1","NottAntoo",6,00:00:12.523,"A Seedy Place",NA,1,12523
"1A1","hackingnoisess",3,00:00:13.496,"A Seedy Place",NA,1,13496
"1A1","hackingnoisess",3,00:00:22.263,"Suit Up",NA,2,22263
"1A1","hackingnoisess",3,00:00:22.311,"Isn't It Iron Pick",NA,3,22311
"1A1","oxidiot",1,00:00:41.253,"Diamonds!",NA,1,41253
"1A1","oxidiot",1,00:00:41.802,"Stone Age",NA,2,41802
"1A1","oxidiot",1,00:00:42.016,"Acquire Hardware",NA,3,42016
"1A1","draconix6",4,00:00:43.061,"Diamonds!",NA,2,43061
"1A1","draconix6",4,00:00:43.062,"Stone Age",NA,3,43062
"1A1","draconix6",4,00:00:43.629,"Acquire Hardware",NA,4,43629
"1A1","NottAntoo",6,00:00:44.276,"Diamonds!",NA,2,44276
"1A1","NottAntoo",6,00:00:44.680,"Stone Age",NA,3,44680
"1A1","NottAntoo",6,00:00:44.731,"Acquire Hardware",NA,4,44731
"1A1","dbowzer",5,00:00:45.377,"Acquire Hardware",NA,2,45377
"1A1","hackingnoisess",3,00:00:46.475,"Diamonds!",NA,4,46475
"1A1","dbowzer",5,00:00:46.580,"Diamonds!",NA,3,46580
"1A1","TigerMCSR",2,00:00:46.597,"Diamonds!",NA,2,46597
"1A1","hackingnoisess",3,00:00:46.722,"Stone Age",NA,5,46722
"1A1","dbowzer",5,00:00:46.813,"Stone Age",NA,4,46813
"1A1","TigerMCSR",2,00:00:47.584,"Acquire Hardware",NA,3,47584
"1A1","hackingnoisess",3,00:00:48.227,"Acquire Hardware",NA,6,48227
"1A1","TigerMCSR",2,00:00:49.333,"Stone Age",NA,4,49333
"1A1","draconix6",4,00:01:11.144,"Suit Up",NA,5,71144
"1A1","draconix6",4,00:01:11.404,"Isn't It Iron Pick",NA,6,71404
"1A1","oxidiot",1,00:01:17.298,"Getting an Upgrade",NA,4,77298
"1A1","oxidiot",1,00:01:18.999,"Minecraft",NA,5,78999
"1A1","TigerMCSR",2,00:01:19.582,"Minecraft",NA,5,79582
"1A1","dbowzer",5,00:01:27.100,"Minecraft",NA,5,87100
"1A1","oxidiot",1,00:01:27.749,"Isn't It Iron Pick",NA,6,87749
"1A1","oxidiot",1,00:01:30.316,"Suit Up",NA,7,90316
"1A1","TigerMCSR",2,00:01:33.681,"Isn't It Iron Pick",NA,6,93681
"1A1","TigerMCSR",2,00:01:33.721,"Suit Up",NA,7,93721
"1A1","TigerMCSR",2,00:01:36.634,"Husbandry",NA,8,96634
"1A1","NottAntoo",6,00:01:44.694,"Minecraft",NA,5,104694
"1A1","hackingnoisess",3,00:01:46.678,"Minecraft",NA,7,106678
"1A1","NottAntoo",6,00:01:50.192,"Getting an Upgrade",NA,6,110192
"1A1","NottAntoo",6,00:01:50.193,"Isn't It Iron Pick",NA,7,110193
"1A1","hackingnoisess",3,00:01:53.313,"Getting an Upgrade",NA,8,113313
"1A1","oxidiot",1,00:02:07.775,"Tactical Fishing",NA,8,127775
"1A1","draconix6",4,00:02:08.608,"Minecraft",NA,7,128608
"1A1","hackingnoisess",3,00:02:12.745,"Tactical Fishing",NA,9,132745
"1A1","TigerMCSR",2,00:02:14.533,"Getting an Upgrade",NA,9,134533
"1A1","draconix6",4,00:02:15.102,"Getting an Upgrade",NA,8,135102
"1A1","hackingnoisess",3,00:02:17.753,"Adventure",NA,10,137753
"1A1","TigerMCSR",2,00:02:21.340,"Tactical Fishing",NA,10,141340
"1A1","hackingnoisess",3,00:02:24.188,"What a Deal!",NA,11,144188
"1A1","dbowzer",5,00:02:26.207,"What a Deal!",NA,6,146207
"1A1","TigerMCSR",2,00:02:30.642,"Adventure",NA,11,150642
"1A1","oxidiot",1,00:02:36.478,"A Seedy Place",NA,9,156478
"1A1","NottAntoo",6,00:02:38.664,"Suit Up",NA,8,158664
"1A1","hackingnoisess",3,00:02:45.061,"Hot Stuff",NA,12,165061
"1A1","TigerMCSR",2,00:02:50.567,"What a Deal!",NA,12,170567
"1A1","hackingnoisess",3,00:02:53.417,"Husbandry",NA,13,173417
"1A1","hackingnoisess",3,00:02:55.506,"Nether",NA,14,175506
"1A1","hackingnoisess",3,00:02:55.510,"We Need to Go Deeper",NA,15,175510
"1A1","draconix6",4,00:02:56.523,"What a Deal!",NA,9,176523
"1A1","oxidiot",1,00:02:58.190,"What a Deal!",NA,10,178190
"1A1","NottAntoo",6,00:03:11.888,"What a Deal!",NA,9,191888
"1A1","TigerMCSR",2,00:03:14.732,"Hot Stuff",NA,13,194732
"1A1","NottAntoo",6,00:03:15.718,"Husbandry",NA,10,195718
