"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","dbowzer",00:00:10.333,10333,"A Seedy Place",NA,1
"2","drx6",00:00:12.152,12152,"A Seedy Place",NA,1
"3","NOHACKSJUSTTIGER",00:00:12.339,12339,"A Seedy Place",NA,1
"4","4antoo",00:00:12.523,12523,"A Seedy Place",NA,1
"5","hackingnoises",00:00:13.496,13496,"A Seedy Place",NA,1
"6","hackingnoises",00:00:22.263,22263,"Suit Up",NA,2
"7","hackingnoises",00:00:22.311,22311,"Isn't It Iron Pick",NA,3
"8","Oxidiot",00:00:41.253,41253,"Diamonds!",NA,1
"9","Oxidiot",00:00:41.802,41802,"Stone Age",NA,2
"10","Oxidiot",00:00:42.016,42016,"Acquire Hardware",NA,3
"11","drx6",00:00:43.061,43061,"Diamonds!",NA,2
"12","drx6",00:00:43.062,43062,"Stone Age",NA,3
"13","drx6",00:00:43.629,43629,"Acquire Hardware",NA,4
"14","4antoo",00:00:44.276,44276,"Diamonds!",NA,2
"15","4antoo",00:00:44.680,44680,"Stone Age",NA,3
"16","4antoo",00:00:44.731,44731,"Acquire Hardware",NA,4
"17","dbowzer",00:00:45.377,45377,"Acquire Hardware",NA,2
"18","hackingnoises",00:00:46.475,46475,"Diamonds!",NA,4
"19","dbowzer",00:00:46.580,46580,"Diamonds!",NA,3
"20","NOHACKSJUSTTIGER",00:00:46.597,46597,"Diamonds!",NA,2
"21","hackingnoises",00:00:46.722,46722,"Stone Age",NA,5
"22","dbowzer",00:00:46.813,46813,"Stone Age",NA,4
"23","NOHACKSJUSTTIGER",00:00:47.584,47584,"Acquire Hardware",NA,3
"24","hackingnoises",00:00:48.227,48227,"Acquire Hardware",NA,6
"25","NOHACKSJUSTTIGER",00:00:49.333,49333,"Stone Age",NA,4
"26","drx6",00:01:11.144,71144,"Suit Up",NA,5
"27","drx6",00:01:11.404,71404,"Isn't It Iron Pick",NA,6
"28","Oxidiot",00:01:17.298,77298,"Getting an Upgrade",NA,4
"29","Oxidiot",00:01:27.749,87749,"Isn't It Iron Pick",NA,5
"30","Oxidiot",00:01:30.316,90316,"Suit Up",NA,6
"31","NOHACKSJUSTTIGER",00:01:33.681,93681,"Isn't It Iron Pick",NA,5
"32","NOHACKSJUSTTIGER",00:01:33.721,93721,"Suit Up",NA,6
"33","4antoo",00:01:50.192,110192,"Getting an Upgrade",NA,5
"34","4antoo",00:01:50.193,110193,"Isn't It Iron Pick",NA,6
"35","hackingnoises",00:01:53.313,113313,"Getting an Upgrade",NA,7
"36","Oxidiot",00:02:07.775,127775,"Tactical Fishing",NA,7
"37","hackingnoises",00:02:12.745,132745,"Tactical Fishing",NA,8
"38","NOHACKSJUSTTIGER",00:02:14.533,134533,"Getting an Upgrade",NA,7
"39","drx6",00:02:15.102,135102,"Getting an Upgrade",NA,7
"40","NOHACKSJUSTTIGER",00:02:21.340,141340,"Tactical Fishing",NA,8
"41","hackingnoises",00:02:24.188,144188,"What a Deal!",NA,9
"42","dbowzer",00:02:26.207,146207,"What a Deal!",NA,5
