"","player","time_ms","advancement","ranked_event","n_advancements"
"1","Oxidiot",34011,"Stone Age",NA,1
"2","Oxidiot",34220,"Acquire Hardware",NA,2
"3","hackingnoises",36221,"Stone Age",NA,1
"4","dbowzer",36227,"Stone Age",NA,1
"5","dbowzer",37128,"Acquire Hardware",NA,2
"6","hackingnoises",37624,"Acquire Hardware",NA,2
"7","drx6",39028,"Stone Age",NA,1
"8","NOHACKSJUSTTIGER",40206,"Stone Age",NA,1
"9","NOHACKSJUSTTIGER",40402,"Acquire Hardware",NA,2
"10","drx6",40466,"Acquire Hardware",NA,2
"11","4antoo",41216,"Stone Age",NA,1
"12","4antoo",41811,"Acquire Hardware",NA,2
"13","NOHACKSJUSTTIGER",70458,"What a Deal!",NA,3
"14","NOHACKSJUSTTIGER",72534,"A Seedy Place",NA,4
"15","dbowzer",73034,"What a Deal!",NA,3
"16","hackingnoises",79865,"Getting an Upgrade",NA,3
"17","hackingnoises",79869,"Isn't It Iron Pick",NA,4
"18","drx6",85311,"Getting an Upgrade",NA,3
"19","dbowzer",86909,"A Seedy Place",NA,4
"20","drx6",92661,"Isn't It Iron Pick",NA,4
"21","Oxidiot",95677,"What a Deal!",NA,3
"22","4antoo",97707,"Getting an Upgrade",NA,3
"23","4antoo",97751,"Isn't It Iron Pick",NA,4
"24","dbowzer",98182,"Getting an Upgrade",NA,5
"25","hackingnoises",126119,"What a Deal!",NA,5
"26","drx6",139588,"A Seedy Place",NA,5
"27","NOHACKSJUSTTIGER",140150,"Getting an Upgrade",NA,5
"28","NOHACKSJUSTTIGER",140185,"Isn't It Iron Pick",NA,6
"29","Oxidiot",141436,"Tactical Fishing",NA,4
"30","hackingnoises",151657,"A Seedy Place",NA,6
"31","drx6",152196,"What a Deal!",NA,6
"32","Oxidiot",154159,"Isn't It Iron Pick",NA,5
"33","Oxidiot",154243,"Getting an Upgrade",NA,6
"34","NOHACKSJUSTTIGER",154437,"Tactical Fishing",NA,7
"35","drx6",156132,"Tactical Fishing",NA,7
"36","dbowzer",160380,"The Parrots and the Bats",NA,6
"37","NOHACKSJUSTTIGER",161398,"Best Friends Forever",NA,8
"38","hackingnoises",163507,"Tactical Fishing",NA,7
"39","Oxidiot",171408,"Best Friends Forever",NA,7
"40","hackingnoises",174664,"The Parrots and the Bats",NA,8
"41","NOHACKSJUSTTIGER",176148,"The Parrots and the Bats",NA,9
"42","Oxidiot",178485,"A Seedy Place",NA,8
"43","dbowzer",183357,"Tactical Fishing",NA,7
"44","NOHACKSJUSTTIGER",184401,"Hot Stuff",NA,10
"45","Oxidiot",187360,"The Parrots and the Bats",NA,9
"46","hackingnoises",188313,"Best Friends Forever",NA,9
"47","drx6",189916,"Fishy Business",NA,8
"48","Oxidiot",193436,"Fishy Business",NA,10
"49","4antoo",193568,"What a Deal!",NA,5
"50","hackingnoises",195516,"Hot Stuff",NA,10
"51","dbowzer",197308,"Fishy Business",NA,8
"52","NOHACKSJUSTTIGER",198224,"We Need to Go Deeper",NA,11
"53","dbowzer",200374,"Isn't It Iron Pick",NA,9
"54","Oxidiot",203611,"Hot Stuff",NA,11
"55","hackingnoises",205902,"We Need to Go Deeper",NA,11
"56","Oxidiot",214348,"We Need to Go Deeper",NA,12
"57","dbowzer",223281,"Best Friends Forever",NA,10
"58","dbowzer",227935,"Hot Stuff",NA,11
"59","NOHACKSJUSTTIGER",234002,"Those Were the Days",NA,12
"60","drx6",234425,"The Parrots and the Bats",NA,9
"61","NOHACKSJUSTTIGER",236390,"War Pigs",NA,13
"62","dbowzer",240136,"We Need to Go Deeper",NA,12
"63","hackingnoises",240869,"Those Were the Days",NA,12
"64","Oxidiot",241413,"Monster Hunter",NA,13
"65","Oxidiot",241497,"Return to Sender",NA,14
"66","hackingnoises",242508,"War Pigs",NA,13
"67","NOHACKSJUSTTIGER",246455,"Oh Shiny",NA,14
"68","NOHACKSJUSTTIGER",247052,"Who is Cutting Onions?",NA,15
"69","hackingnoises",252218,"Who is Cutting Onions?",NA,14
"70","Oxidiot",252812,"Those Were the Days",NA,15
"71","Oxidiot",254048,"War Pigs",NA,16
"72","hackingnoises",254170,"Ice Bucket Challenge",NA,15
"73","NOHACKSJUSTTIGER",256002,"Ice Bucket Challenge",NA,16
"74","drx6",262407,"Best Friends Forever",NA,10
"75","Oxidiot",264798,"Who is Cutting Onions?",NA,17
"76","4antoo",270554,"Tactical Fishing",NA,6
"77","Oxidiot",270761,"Oh Shiny",NA,18
"78","dbowzer",274191,"Monster Hunter",NA,13
"79","4antoo",275653,"Fishy Business",NA,7
"80","Oxidiot",276761,"Ice Bucket Challenge",NA,19
"81","drx6",276926,"Hot Stuff",NA,11
"82","hackingnoises",278168,"Oh Shiny",NA,16
"83","dbowzer",282291,"Those Were the Days",NA,14
"84","dbowzer",283851,"War Pigs",NA,15
"85","4antoo",285760,"The Parrots and the Bats",NA,8
"86","drx6",287371,"We Need to Go Deeper",NA,12
"87","dbowzer",296234,"Ice Bucket Challenge",NA,16
"88","dbowzer",300380,"Who is Cutting Onions?",NA,17
"89","4antoo",300562,"Hot Stuff",NA,9
"90","4antoo",313841,"We Need to Go Deeper",NA,10
"91","drx6",324715,"Those Were the Days",NA,13
"92","drx6",325728,"War Pigs",NA,14
"93","drx6",333559,"Who is Cutting Onions?",NA,15
"94","drx6",333832,"Oh Shiny",NA,16
"95","drx6",337507,"Ice Bucket Challenge",NA,17
"96","4antoo",340988,"Monster Hunter",NA,11
"97","NOHACKSJUSTTIGER",341354,"Monster Hunter",NA,17
"98","4antoo",352215,"Those Were the Days",NA,12
"99","hackingnoises",352387,"Fishy Business",NA,17
"100","4antoo",353692,"War Pigs",NA,13
"101","hackingnoises",355188,"Ol' Betsy",NA,18
"102","hackingnoises",356873,"Not Today, Thank You",NA,19
"103","hackingnoises",356877,"Take Aim",NA,20
"104","4antoo",358583,"Take Aim",NA,14
"105","4antoo",360048,"Ol' Betsy",NA,15
"106","4antoo",367215,"Who is Cutting Onions?",NA,16
"107","4antoo",371865,"Oh Shiny",NA,17
"108","4antoo",373869,"Ice Bucket Challenge",NA,18
"109","NOHACKSJUSTTIGER",384158,"Not Quite ""Nine"" Lives",NA,18
"110","Oxidiot",387655,"Not Quite ""Nine"" Lives",NA,20
"111","dbowzer",391933,"Not Today, Thank You",NA,18
"112","dbowzer",392043,"Take Aim",NA,19
"113","Oxidiot",395167,"Ol' Betsy",NA,21
"114","Oxidiot",396366,"Not Today, Thank You",NA,22
"115","Oxidiot",396451,"Take Aim",NA,23
"116","dbowzer",411249,"Not Quite ""Nine"" Lives",NA,20
"117","hackingnoises",419625,"A Terrible Fortress",NA,21
"118","hackingnoises",421865,"Monster Hunter",NA,22
"119","NOHACKSJUSTTIGER",426357,"Return to Sender",NA,19
"120","hackingnoises",432726,"Into Fire",NA,23
"121","drx6",450713,"Not Quite ""Nine"" Lives",NA,18
"122","Oxidiot",457066,"A Terrible Fortress",NA,24
"123","NOHACKSJUSTTIGER",467041,"A Terrible Fortress",NA,20
"124","4antoo",472818,"Not Today, Thank You",NA,19
"125","dbowzer",476984,"Oh Shiny",NA,21
"126","Oxidiot",478816,"Into Fire",NA,25
"127","NOHACKSJUSTTIGER",502806,"Into Fire",NA,21
"128","hackingnoises",508736,"Not Quite ""Nine"" Lives",NA,24
"129","drx6",509541,"Not Today, Thank You",NA,19
"130","hackingnoises",515154,"Local Brewery",NA,25
"131","dbowzer",522282,"A Terrible Fortress",NA,22
"132","Oxidiot",525458,NA,"blind_travel",25
"133","NOHACKSJUSTTIGER",529201,NA,"blind_travel",21
"134","hackingnoises",550347,NA,"blind_travel",25
"135","drx6",551195,"Ol' Betsy",NA,20
