"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"1","draconix6",6,00:00:34.329,34329,"Stone Age",NA,1
"2","draconix6",6,00:00:34.861,34861,"Acquire Hardware",NA,2
"3","TigerMCSR",1,00:00:35.150,35150,"Acquire Hardware",NA,1
"4","hackingnoisess",4,00:00:36.498,36498,"Acquire Hardware",NA,1
"5","NottAntoo",5,00:00:36.830,36830,"Acquire Hardware",NA,1
"6","NottAntoo",5,00:00:36.831,36831,"Stone Age",NA,2
"7","TigerMCSR",1,00:00:36.952,36952,"Stone Age",NA,2
"8","hackingnoisess",4,00:00:38.795,38795,"Stone Age",NA,2
"9","oxidiot",2,00:00:43.311,43311,"Acquire Hardware",NA,1
"10","oxidiot",2,00:00:45.577,45577,"Stone Age",NA,2
"11","dbowzer",3,00:00:46.046,46046,"Acquire Hardware",NA,1
"12","dbowzer",3,00:00:46.160,46160,"Stone Age",NA,2
"13","draconix6",6,00:00:52.839,52839,"A Seedy Place",NA,3
"14","hackingnoisess",4,00:00:53.218,53218,"A Seedy Place",NA,3
"15","NottAntoo",5,00:00:55.637,55637,"A Seedy Place",NA,3
"16","TigerMCSR",1,00:01:10.148,70148,"The Parrots and the Bats",NA,3
"17","oxidiot",2,00:01:12.266,72266,"A Seedy Place",NA,3
"18","TigerMCSR",1,00:01:13.212,73212,"A Seedy Place",NA,4
"19","oxidiot",2,00:01:13.976,73976,"The Parrots and the Bats",NA,4
"20","dbowzer",3,00:01:23.592,83592,"The Parrots and the Bats",NA,3
"21","dbowzer",3,00:01:24.553,84553,"A Seedy Place",NA,4
"22","hackingnoisess",4,00:01:25.588,85588,"Getting an Upgrade",NA,4
"23","hackingnoisess",4,00:01:25.591,85591,"Isn't It Iron Pick",NA,5
"24","TigerMCSR",1,00:01:26.148,86148,"Isn't It Iron Pick",NA,5
"25","TigerMCSR",1,00:01:26.181,86181,"Getting an Upgrade",NA,6
"26","NottAntoo",5,00:01:30.957,90957,"Getting an Upgrade",NA,4
"27","NottAntoo",5,00:01:31.002,91002,"Isn't It Iron Pick",NA,5
"28","draconix6",6,00:01:36.204,96204,"Getting an Upgrade",NA,4
"29","draconix6",6,00:01:47.204,107204,"Isn't It Iron Pick",NA,5
"30","dbowzer",3,00:01:54.199,114199,"Getting an Upgrade",NA,5
"31","dbowzer",3,00:01:54.309,114309,"Isn't It Iron Pick",NA,6
"32","oxidiot",2,00:01:56.676,116676,"Getting an Upgrade",NA,5
"33","oxidiot",2,00:01:56.760,116760,"Isn't It Iron Pick",NA,6
"34","hackingnoisess",4,00:02:09.045,129044,"What a Deal!",NA,6
"35","TigerMCSR",1,00:02:14.509,134509,"What a Deal!",NA,7
"36","hackingnoisess",4,00:02:18.026,138026,"Tactical Fishing",NA,7
"37","draconix6",6,00:02:23.449,143449,"What a Deal!",NA,6
"38","oxidiot",2,00:02:27.160,147160,"What a Deal!",NA,7
"39","hackingnoisess",4,00:02:32.937,152937,"The Parrots and the Bats",NA,8
"40","NottAntoo",5,00:02:37.504,157504,"The Parrots and the Bats",NA,6
"41","draconix6",6,00:02:41.166,161166,"The Parrots and the Bats",NA,7
"42","dbowzer",3,00:02:46.406,166406,"Tactical Fishing",NA,7
"43","oxidiot",2,00:02:49.129,169129,"Ice Bucket Challenge",NA,8
"44","TigerMCSR",1,00:02:49.264,169264,"Tactical Fishing",NA,8
"45","oxidiot",2,00:02:57.479,177479,"Hot Stuff",NA,9
"46","dbowzer",3,00:03:00.851,180851,"Fishy Business",NA,8
"47","hackingnoisess",4,00:03:02.589,182589,"Ice Bucket Challenge",NA,9
"48","hackingnoisess",4,00:03:06.488,186488,"Hot Stuff",NA,10
"49","TigerMCSR",1,00:03:07.997,187997,"Ice Bucket Challenge",NA,9
"50","oxidiot",2,00:03:09.015,189015,"Tactical Fishing",NA,10
"51","dbowzer",3,00:03:13.198,193198,"Hot Stuff",NA,9
"52","TigerMCSR",1,00:03:13.553,193553,"Hot Stuff",NA,10
"53","NottAntoo",5,00:03:15.577,195577,"What a Deal!",NA,7
