"","player","time_ms","advancement","ranked_event","n_advancements"
"1","Infume",29512,"Acquire Hardware",NA,1
"2","Infume",29619,"Diamonds!",NA,2
"3","ANTOlNE",29956,"Acquire Hardware",NA,1
"4","ANTOlNE",29995,"Diamonds!",NA,2
"5","Infume",30315,"Stone Age",NA,3
"6","iinterp",31233,"Diamonds!",NA,1
"7","ANTOlNE",31408,"Stone Age",NA,3
"8","7rowl",31564,"Diamonds!",NA,1
"9","7rowl",32110,"Stone Age",NA,2
"10","maskers_",32655,"Acquire Hardware",NA,1
"11","maskers_",32719,"Diamonds!",NA,2
"12","iinterp",33290,"Stone Age",NA,2
"13","7rowl",33610,"Acquire Hardware",NA,3
"14","iinterp",34690,"Acquire Hardware",NA,3
"15","maskers_",34853,"Stone Age",NA,3
"16","JakkeBoy3651",44667,"Diamonds!",NA,1
"17","JakkeBoy3651",44918,"Acquire Hardware",NA,2
"18","JakkeBoy3651",44967,"Stone Age",NA,3
"19","7rowl",82008,"Getting an Upgrade",NA,4
"20","iinterp",87366,"What a Deal!",NA,4
"21","7rowl",92650,"A Seedy Place",NA,5
"22","ANTOlNE",94307,"Cover Me With Diamonds",NA,4
"23","ANTOlNE",94358,"Isn't It Iron Pick",NA,5
"24","ANTOlNE",94358,"Getting an Upgrade",NA,6
"25","Infume",96056,"Getting an Upgrade",NA,4
"26","7rowl",97971,"What a Deal!",NA,6
"27","maskers_",108546,"Getting an Upgrade",NA,4
"28","JakkeBoy3651",110956,"Getting an Upgrade",NA,4
"29","maskers_",114178,"A Seedy Place",NA,5
"30","ANTOlNE",118495,"A Seedy Place",NA,7
"31","ANTOlNE",122178,"What a Deal!",NA,8
"32","7rowl",131801,"Tactical Fishing",NA,7
"33","maskers_",137694,"The Parrots and the Bats",NA,6
"34","Infume",138359,"What a Deal!",NA,5
"35","iinterp",140833,"Getting an Upgrade",NA,5
"36","iinterp",146838,"Tactical Fishing",NA,6
"37","JakkeBoy3651",153961,"What a Deal!",NA,5
"38","7rowl",160652,"Best Friends Forever",NA,8
"39","iinterp",161187,"Fishy Business",NA,7
"40","Infume",169853,"The Parrots and the Bats",NA,6
"41","JakkeBoy3651",172993,"Tactical Fishing",NA,6
"42","iinterp",174989,"Best Friends Forever",NA,8
"43","iinterp",179231,"Isn't It Iron Pick",NA,9
"44","Infume",180895,"Tactical Fishing",NA,7
"45","ANTOlNE",186693,"The Parrots and the Bats",NA,9
"46","7rowl",187809,"Hot Stuff",NA,9
"47","iinterp",188035,"A Seedy Place",NA,10
"48","JakkeBoy3651",188354,"The Parrots and the Bats",NA,7
"49","JakkeBoy3651",188983,"A Seedy Place",NA,8
"50","7rowl",198844,"We Need to Go Deeper",NA,10
"51","maskers_",199641,"Hot Stuff",NA,7
"52","Infume",211450,"Hot Stuff",NA,8
"53","maskers_",212668,"We Need to Go Deeper",NA,8
"54","ANTOlNE",216752,"Hot Stuff",NA,10
"55","Infume",222594,"We Need to Go Deeper",NA,9
"56","maskers_",225054,"Monster Hunter",NA,9
"57","maskers_",225054,"Return to Sender",NA,10
"58","7rowl",225613,"Those Were the Days",NA,11
"59","7rowl",230174,"War Pigs",NA,12
"60","ANTOlNE",230721,"We Need to Go Deeper",NA,11
"61","JakkeBoy3651",231152,"Hot Stuff",NA,9
"62","iinterp",232580,"The Parrots and the Bats",NA,11
"63","7rowl",233513,"Who is Cutting Onions?",NA,13
"64","ANTOlNE",239202,"Return to Sender",NA,12
"65","ANTOlNE",239203,"Monster Hunter",NA,13
"66","7rowl",241062,"Ice Bucket Challenge",NA,14
"67","JakkeBoy3651",245168,"We Need to Go Deeper",NA,10
"68","Infume",248910,"Those Were the Days",NA,10
"69","Infume",251916,"War Pigs",NA,11
"70","Infume",253650,"Who is Cutting Onions?",NA,12
"71","Infume",257947,"Oh Shiny",NA,13
"72","maskers_",260074,"War Pigs",NA,11
"73","Infume",260452,"Ice Bucket Challenge",NA,14
"74","maskers_",260998,"Those Were the Days",NA,12
"75","maskers_",263394,"Who is Cutting Onions?",NA,13
"76","iinterp",269382,"Hot Stuff",NA,12
"77","ANTOlNE",272751,"Those Were the Days",NA,14
"78","maskers_",274593,"Ice Bucket Challenge",NA,14
"79","JakkeBoy3651",279899,"Those Were the Days",NA,11
"80","maskers_",280144,"Oh Shiny",NA,15
"81","iinterp",280947,"We Need to Go Deeper",NA,13
"82","JakkeBoy3651",282335,"War Pigs",NA,12
"83","7rowl",283561,"Oh Shiny",NA,15
"84","JakkeBoy3651",286649,"Oh Shiny",NA,13
"85","ANTOlNE",295300,"Oh Shiny",NA,15
"86","JakkeBoy3651",299348,"Ice Bucket Challenge",NA,14
"87","JakkeBoy3651",303996,"Who is Cutting Onions?",NA,15
"88","7rowl",311413,"Isn't It Iron Pick",NA,16
"89","iinterp",314432,"Return to Sender",NA,14
"90","iinterp",314441,"Monster Hunter",NA,15
"91","7rowl",318136,"Ol' Betsy",NA,17
"92","iinterp",322881,"Those Were the Days",NA,16
"93","7rowl",324415,"Not Today, Thank You",NA,18
"94","7rowl",324452,"Take Aim",NA,19
"95","iinterp",325116,"War Pigs",NA,17
"96","ANTOlNE",325267,"Ice Bucket Challenge",NA,16
"97","iinterp",326580,"Who is Cutting Onions?",NA,18
"98","iinterp",331078,"Ice Bucket Challenge",NA,19
"99","7rowl",340937,"Fishy Business",NA,20
"100","ANTOlNE",351594,"War Pigs",NA,17
"101","Infume",352400,"Isn't It Iron Pick",NA,15
"102","Infume",356213,"Fishy Business",NA,16
"103","ANTOlNE",373252,"Who is Cutting Onions?",NA,18
"104","Infume",377508,"Suit Up",NA,17
"105","ANTOlNE",386156,"Not Quite ""Nine"" Lives",NA,19
"106","7rowl",392117,"A Terrible Fortress",NA,21
"107","JakkeBoy3651",397678,"Fishy Business",NA,16
"108","7rowl",400089,"Monster Hunter",NA,22
"109","7rowl",402919,"Into Fire",NA,23
"110","maskers_",403074,"Not Quite ""Nine"" Lives",NA,16
"111","7rowl",414639,"Not Quite ""Nine"" Lives",NA,24
"112","iinterp",419228,"Oh Shiny",NA,20
"113","maskers_",422846,"Suit Up",NA,17
"114","JakkeBoy3651",423126,"Not Quite ""Nine"" Lives",NA,17
"115","ANTOlNE",438497,"Suit Up",NA,20
"116","Infume",443658,"A Terrible Fortress",NA,18
"117","JakkeBoy3651",444995,"Isn't It Iron Pick",NA,18
"118","JakkeBoy3651",447745,"Suit Up",NA,19
"119","7rowl",457194,NA,"blind_travel",24
"120","Infume",462265,"Ol' Betsy",NA,19
"121","Infume",462369,"Take Aim",NA,20
"122","Infume",463464,"Monster Hunter",NA,21
"123","Infume",468000,"Into Fire",NA,22
"124","ANTOlNE",481899,"Not Today, Thank You",NA,21
"125","ANTOlNE",481945,"Take Aim",NA,22
"126","Infume",484302,"Not Today, Thank You",NA,23
"127","maskers_",485000,"A Terrible Fortress",NA,18
"128","JakkeBoy3651",487807,"A Terrible Fortress",NA,20
"129","iinterp",487931,"A Terrible Fortress",NA,21
