"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","ANTOlNE",00:00:30.776,30776,"Stone Age",NA,1
"2","infume",00:00:31.023,31023,"Acquire Hardware",NA,1
"3","ANTOlNE",00:00:32.529,32529,"Acquire Hardware",NA,2
"4","infume",00:00:32.775,32775,"Stone Age",NA,2
"5","jakkeboy3651",00:00:37.314,37314,"Acquire Hardware",NA,1
"6","jakkeboy3651",00:00:39.013,39013,"Stone Age",NA,2
"7","7rowl",00:00:42.017,42017,"Acquire Hardware",NA,1
"8","7rowl",00:00:42.055,42055,"Stone Age",NA,2
"9","maskers_",00:00:45.100,45100,"Acquire Hardware",NA,1
"10","maskers_",00:00:46.097,46097,"Stone Age",NA,2
"11","iinterp",00:00:51.837,51837,"Stone Age",NA,1
"12","iinterp",00:00:51.987,51987,"Acquire Hardware",NA,2
"13","ANTOlNE",00:01:19.372,79372,"Isn't It Iron Pick",NA,3
"14","ANTOlNE",00:01:19.423,79423,"Getting an Upgrade",NA,4
"15","7rowl",00:01:30.116,90116,"Isn't It Iron Pick",NA,3
"16","jakkeboy3651",00:01:32.289,92289,"What a Deal!",NA,3
"17","infume",00:01:37.989,97989,"Getting an Upgrade",NA,3
"18","infume",00:01:38.093,98093,"Isn't It Iron Pick",NA,4
"19","iinterp",00:01:40.579,100579,"Getting an Upgrade",NA,3
"20","jakkeboy3651",00:01:49.347,109347,"Isn't It Iron Pick",NA,4
"21","maskers_",00:01:54.393,114393,"Isn't It Iron Pick",NA,3
"22","ANTOlNE",00:02:01.246,121246,"What a Deal!",NA,5
"23","iinterp",00:02:10.865,130865,"A Seedy Place",NA,4
"24","maskers_",00:02:18.843,138843,"Getting an Upgrade",NA,4
"25","infume",00:02:27.497,147497,"What a Deal!",NA,5
"26","infume",00:02:34.155,154155,"Tactical Fishing",NA,6
"27","7rowl",00:02:34.421,154421,"What a Deal!",NA,4
"28","infume",00:02:38.978,158978,"A Seedy Place",NA,7
"29","7rowl",00:02:41.601,161601,"A Seedy Place",NA,5
"30","iinterp",00:02:44.195,164195,"What a Deal!",NA,5
"31","maskers_",00:02:44.718,164718,"A Seedy Place",NA,5
"32","ANTOlNE",00:02:50.162,170162,"A Seedy Place",NA,6
"33","ANTOlNE",00:03:09.320,189320,"Hot Stuff",NA,7
"34","7rowl",00:03:12.917,192917,"Hot Stuff",NA,6
"35","maskers_",00:03:13.138,193138,"What a Deal!",NA,6
"36","iinterp",00:03:13.878,193878,"Isn't It Iron Pick",NA,6
"37","jakkeboy3651",00:03:16.992,196992,"The Parrots and the Bats",NA,5
"38","ANTOlNE",00:03:22.807,202807,"We Need to Go Deeper",NA,8
"39","infume",00:03:29.136,209136,"The Parrots and the Bats",NA,8
"40","7rowl",00:03:29.478,209478,"We Need to Go Deeper",NA,7
"41","iinterp",00:03:34.218,214218,"Tactical Fishing",NA,7
"42","jakkeboy3651",00:03:39.843,219843,"Getting an Upgrade",NA,6
"43","jakkeboy3651",00:03:43.852,223852,"A Seedy Place",NA,7
"44","maskers_",00:03:54.400,234400,"Hot Stuff",NA,7
"45","jakkeboy3651",00:03:54.449,234449,"Tactical Fishing",NA,8
"46","iinterp",00:04:02.627,242627,"The Parrots and the Bats",NA,8
"47","infume",00:04:06.189,246189,"Best Friends Forever",NA,9
"48","7rowl",00:04:08.471,248471,"The Parrots and the Bats",NA,8
"49","maskers_",00:04:09.029,249029,"We Need to Go Deeper",NA,8
"50","infume",00:04:11.784,251784,"Hot Stuff",NA,10
"51","jakkeboy3651",00:04:12.443,252443,"Hot Stuff",NA,9
"52","7rowl",00:04:18.428,258428,"Those Were the Days",NA,9
"53","infume",00:04:22.192,262192,"We Need to Go Deeper",NA,11
"54","7rowl",00:04:25.808,265808,"War Pigs",NA,10
"55","ANTOlNE",00:04:28.374,268374,"Those Were the Days",NA,9
"56","7rowl",00:04:29.019,269019,"Who is Cutting Onions?",NA,11
"57","jakkeboy3651",00:04:29.786,269786,"We Need to Go Deeper",NA,10
"58","maskers_",00:04:37.846,277846,"Oh Shiny",NA,9
"59","ANTOlNE",00:04:39.273,279273,"War Pigs",NA,10
