"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"1","okrzej1",2,00:00:28.519,28519,"Acquire Hardware",NA,1
"2","okrzej1",2,00:00:28.623,28623,"Diamonds!",NA,2
"3","Feinberg",1,00:00:28.858,28858,"Diamonds!",NA,1
"4","Feinberg",1,00:00:29.093,29093,"Acquire Hardware",NA,2
"5","danterustv",5,00:00:29.336,29336,"Stone Age",NA,1
"6","Feinberg",1,00:00:29.571,29571,"Stone Age",NA,3
"7","danterustv",5,00:00:29.967,29967,"Diamonds!",NA,2
"8","danterustv",5,00:00:30.238,30238,"Acquire Hardware",NA,3
"9","okrzej1",2,00:00:30.332,30332,"Stone Age",NA,3
"10","fudge1",3,00:00:30.365,30365,"Diamonds!",NA,1
"11","fudge1",3,00:00:30.528,30528,"Acquire Hardware",NA,2
"12","fudge1",3,00:00:31.493,31493,"Stone Age",NA,3
"13","AutomattPLUS",6,00:00:34.580,34580,"Stone Age",NA,1
"14","AutomattPLUS",6,00:00:35.030,35030,"Acquire Hardware",NA,2
"15","AutomattPLUS",6,00:00:35.154,35154,"Diamonds!",NA,3
"16","joshteautwins",4,00:00:36.775,36775,"Acquire Hardware",NA,1
"17","joshteautwins",4,00:00:36.794,36794,"Diamonds!",NA,2
"18","joshteautwins",4,00:00:37.123,37123,"Stone Age",NA,3
"19","Feinberg",1,00:00:56.287,56287,"A Seedy Place",NA,4
"20","fudge1",3,00:01:05.699,65699,"A Seedy Place",NA,4
"21","Feinberg",1,00:01:27.914,87914,"The Parrots and the Bats",NA,5
"22","fudge1",3,00:01:30.689,90689,"Best Friends Forever",NA,5
"23","joshteautwins",4,00:01:30.804,90804,"A Seedy Place",NA,4
"24","danterustv",5,00:01:36.844,96844,"What a Deal!",NA,4
"25","AutomattPLUS",6,00:01:51.081,111081,"Getting an Upgrade",NA,4
"26","fudge1",3,00:02:04.585,124585,"Getting an Upgrade",NA,6
"27","Feinberg",1,00:02:06.986,126986,"Getting an Upgrade",NA,6
"28","AutomattPLUS",6,00:02:08.233,128233,"Best Friends Forever",NA,5
"29","okrzej1",2,00:02:08.901,128901,"A Seedy Place",NA,4
"30","AutomattPLUS",6,00:02:12.178,132178,"What a Deal!",NA,6
"31","AutomattPLUS",6,00:02:13.057,133057,"Tactical Fishing",NA,7
"32","okrzej1",2,00:02:14.836,134836,"The Parrots and the Bats",NA,5
"33","fudge1",3,00:02:20.732,140732,"The Parrots and the Bats",NA,7
"34","joshteautwins",4,00:02:20.974,140974,"Getting an Upgrade",NA,5
"35","AutomattPLUS",6,00:02:22.260,142260,"A Seedy Place",NA,8
"36","okrzej1",2,00:02:36.316,156316,"Best Friends Forever",NA,6
"37","Feinberg",1,00:02:44.553,164553,"What a Deal!",NA,7
"38","AutomattPLUS",6,00:02:46.431,166431,"The Parrots and the Bats",NA,9
"39","Feinberg",1,00:02:48.336,168336,"Tactical Fishing",NA,8
"40","fudge1",3,00:02:50.338,170338,"What a Deal!",NA,8
"41","okrzej1",2,00:02:53.133,173133,"What a Deal!",NA,7
"42","joshteautwins",4,00:02:56.690,176690,"What a Deal!",NA,6
