"","player","time_ms","advancement","ranked_event","n_advancements"
"1","danterus",40712,"Diamonds!",NA,1
"2","danterus",41264,"Stone Age",NA,2
"3","AutomattPLUS",41599,"Acquire Hardware",NA,1
"4","AutomattPLUS",41641,"Diamonds!",NA,2
"5","AutomattPLUS",42096,"Stone Age",NA,3
"6","danterus",42964,"Acquire Hardware",NA,3
"7","okrzej_",44750,"Diamonds!",NA,1
"8","okrzej_",46747,"Stone Age",NA,2
"9","okrzej_",48895,"Acquire Hardware",NA,3
"10","Feinberg",50373,"Acquire Hardware",NA,1
"11","modestmousefan11",51076,"Diamonds!",NA,1
"12","modestmousefan11",51092,"Acquire Hardware",NA,2
"13","Feinberg",52126,"Stone Age",NA,2
"14","Feinberg",52226,"Diamonds!",NA,3
"15","modestmousefan11",52331,"Stone Age",NA,3
"16","fujge",60553,"Diamonds!",NA,1
"17","fujge",60569,"Stone Age",NA,2
"18","fujge",63171,"Acquire Hardware",NA,3
"19","AutomattPLUS",88895,"Getting an Upgrade",NA,4
"20","AutomattPLUS",88934,"Isn't It Iron Pick",NA,5
"21","Feinberg",89371,"Getting an Upgrade",NA,4
"22","okrzej_",92893,"Getting an Upgrade",NA,4
"23","AutomattPLUS",95353,"A Seedy Place",NA,6
"24","AutomattPLUS",102425,"What a Deal!",NA,7
"25","AutomattPLUS",103498,"Tactical Fishing",NA,8
"26","Feinberg",105340,"Tactical Fishing",NA,5
"27","danterus",107357,"Getting an Upgrade",NA,4
"28","fujge",109989,"Getting an Upgrade",NA,4
"29","okrzej_",115022,"Tactical Fishing",NA,5
"30","Feinberg",125907,"What a Deal!",NA,6
"31","danterus",131709,"What a Deal!",NA,5
"32","fujge",134206,"Tactical Fishing",NA,5
"33","danterus",136832,"A Seedy Place",NA,6
"34","modestmousefan11",145275,"Getting an Upgrade",NA,4
"35","modestmousefan11",145294,"Isn't It Iron Pick",NA,5
"36","okrzej_",150471,"A Seedy Place",NA,6
"37","Feinberg",150829,"A Seedy Place",NA,7
"38","Feinberg",151072,"The Parrots and the Bats",NA,8
"39","AutomattPLUS",153393,"Best Friends Forever",NA,9
"40","fujge",159561,"Fishy Business",NA,6
"41","danterus",160046,"Best Friends Forever",NA,7
"42","AutomattPLUS",162295,"The Parrots and the Bats",NA,10
"43","modestmousefan11",163719,"Best Friends Forever",NA,6
"44","fujge",167795,"What a Deal!",NA,7
"45","okrzej_",168145,"The Parrots and the Bats",NA,7
"46","Feinberg",173221,"Best Friends Forever",NA,9
"47","danterus",177664,"The Parrots and the Bats",NA,8
"48","okrzej_",181883,"What a Deal!",NA,8
