"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","AutomattPLUS",00:00:28.492,28492,"Stone Age",NA,1
"2","AutomattPLUS",00:00:29.043,29043,"Acquire Hardware",NA,2
"3","okrzej1",00:00:31.824,31824,"Stone Age",NA,1
"4","danterustv",00:00:31.933,31933,"Acquire Hardware",NA,1
"5","danterustv",00:00:32.404,32404,"Stone Age",NA,2
"6","okrzej1",00:00:32.623,32622,"Acquire Hardware",NA,2
"7","Feinberg",00:00:32.825,32825,"Acquire Hardware",NA,1
"8","fudge1",00:00:32.989,32989,"Acquire Hardware",NA,1
"9","joshteautwins",00:00:33.276,33276,"Stone Age",NA,1
"10","joshteautwins",00:00:33.973,33973,"Acquire Hardware",NA,2
"11","fudge1",00:00:34.088,34088,"Stone Age",NA,2
"12","Feinberg",00:00:36.800,36800,"Stone Age",NA,2
"13","okrzej1",00:01:05.522,65522,"Getting an Upgrade",NA,3
"14","okrzej1",00:01:09.120,69120,"Isn't It Iron Pick",NA,4
"15","AutomattPLUS",00:01:17.589,77589,"Getting an Upgrade",NA,3
"16","joshteautwins",00:01:17.717,77717,"Getting an Upgrade",NA,3
"17","danterustv",00:01:22.258,82258,"Getting an Upgrade",NA,3
"18","danterustv",00:01:22.406,82406,"Isn't It Iron Pick",NA,4
"19","Feinberg",00:01:24.546,84546,"Isn't It Iron Pick",NA,3
"20","Feinberg",00:01:24.647,84647,"Getting an Upgrade",NA,4
"21","fudge1",00:01:29.231,89231,"Isn't It Iron Pick",NA,3
"22","fudge1",00:01:29.244,89244,"Getting an Upgrade",NA,4
"23","fudge1",00:01:29.871,89871,"A Seedy Place",NA,5
"24","AutomattPLUS",00:01:30.802,90802,"A Seedy Place",NA,4
"25","AutomattPLUS",00:01:40.687,100687,"Isn't It Iron Pick",NA,5
"26","Feinberg",00:01:41.609,101609,"A Seedy Place",NA,5
"27","AutomattPLUS",00:01:43.453,103453,"What a Deal!",NA,6
"28","AutomattPLUS",00:01:44.199,104199,"Tactical Fishing",NA,7
"29","Feinberg",00:01:57.797,117797,"The Parrots and the Bats",NA,6
"30","danterustv",00:01:58.553,118553,"The Parrots and the Bats",NA,5
"31","okrzej1",00:01:58.924,118924,"The Parrots and the Bats",NA,5
"32","okrzej1",00:02:07.363,127363,"What a Deal!",NA,6
"33","fudge1",00:02:07.491,127491,"The Parrots and the Bats",NA,6
"34","okrzej1",00:02:09.334,129334,"Tactical Fishing",NA,7
"35","Feinberg",00:02:12.705,132705,"What a Deal!",NA,7
"36","Feinberg",00:02:15.259,135259,"Tactical Fishing",NA,8
"37","danterustv",00:02:19.662,139662,"A Seedy Place",NA,6
"38","joshteautwins",00:02:22.767,142767,"The Parrots and the Bats",NA,4
"39","joshteautwins",00:02:24.040,144040,"A Seedy Place",NA,5
"40","AutomattPLUS",00:02:26.101,146101,"Hot Stuff",NA,8
"41","joshteautwins",00:02:29.354,149354,"What a Deal!",NA,6
"42","fudge1",00:02:38.954,158954,"What a Deal!",NA,7
"43","fudge1",00:02:40.067,160067,"Tactical Fishing",NA,8
"44","AutomattPLUS",00:02:41.516,161516,"We Need to Go Deeper",NA,9
"45","Feinberg",00:02:43.645,163645,"Hot Stuff",NA,9
"46","okrzej1",00:02:52.224,172224,"Hot Stuff",NA,8
"47","fudge1",00:02:55.981,175981,"Fishy Business",NA,9
"48","Feinberg",00:02:57.296,177296,"We Need to Go Deeper",NA,10
"49","joshteautwins",00:03:01.316,181316,"Isn't It Iron Pick",NA,7
"50","fudge1",00:03:06.519,186519,"Best Friends Forever",NA,10
"51","okrzej1",00:03:08.728,188728,"We Need to Go Deeper",NA,9
"52","AutomattPLUS",00:03:08.772,188772,NA,"death",9
"53","AutomattPLUS",00:03:12.376,192376,NA,"reset",9
"54","danterustv",00:03:17.040,197040,"What a Deal!",NA,7
"55","okrzej1",00:03:19.677,199677,"Fishy Business",NA,10
"56","joshteautwins",00:03:32.337,212337,"Tactical Fishing",NA,8
"57","danterustv",00:03:42.750,222750,"Tactical Fishing",NA,8
"58","AutomattPLUS",00:03:42.996,222996,"Stone Age",NA,10
"59","AutomattPLUS",00:03:44.400,224400,"Acquire Hardware",NA,11
"60","danterustv",00:03:49.656,229656,"Fishy Business",NA,9
"61","joshteautwins",00:03:54.619,234619,"Hot Stuff",NA,9
"62","danterustv",00:03:57.954,237954,"Hot Stuff",NA,10
"63","fudge1",00:04:03.179,243179,"Hot Stuff",NA,11
"64","joshteautwins",00:04:09.655,249655,"We Need to Go Deeper",NA,10
"65","Feinberg",00:04:23.900,263900,"Those Were the Days",NA,11
"66","okrzej1",00:04:25.927,265927,"Those Were the Days",NA,11
"67","danterustv",00:04:27.065,267065,"We Need to Go Deeper",NA,11
"68","okrzej1",00:04:33.077,273077,"Oh Shiny",NA,12
"69","fudge1",00:04:34.251,274251,"We Need to Go Deeper",NA,12
"70","AutomattPLUS",00:04:41.874,281874,"A Seedy Place",NA,12
"71","Feinberg",00:04:44.748,284748,"Oh Shiny",NA,12
"72","AutomattPLUS",00:04:48.388,288388,"Getting an Upgrade",NA,13
"73","AutomattPLUS",00:04:55.139,295139,"Isn't It Iron Pick",NA,14
"74","AutomattPLUS",00:04:56.905,296905,"What a Deal!",NA,15
"75","danterustv",00:04:57.084,297084,"Oh Shiny",NA,12
"76","AutomattPLUS",00:04:57.726,297726,"Tactical Fishing",NA,16
"77","AutomattPLUS",00:05:11.740,311740,"The Parrots and the Bats",NA,17
"78","joshteautwins",00:05:12.271,312271,"Those Were the Days",NA,11
"79","danterustv",00:05:26.666,326666,"Those Were the Days",NA,13
"80","Feinberg",00:05:38.249,338249,"Who is Cutting Onions?",NA,13
