"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","retropog",00:00:24.647,24647,"Acquire Hardware",NA,1
"2","SuperC__",00:00:24.745,24745,"Acquire Hardware",NA,1
"3","retropog",00:00:25.565,25565,"Diamonds!",NA,2
"4","silverrruns",00:00:25.697,25697,"Acquire Hardware",NA,1
"5","SuperC__",00:00:26.001,26001,"Diamonds!",NA,2
"6","silverrruns",00:00:26.031,26031,"Diamonds!",NA,2
"7","SuperC__",00:00:26.840,26840,"Stone Age",NA,3
"8","chrisXD",00:00:27.099,27099,"Acquire Hardware",NA,1
"9","chrisXD",00:00:27.152,27152,"Diamonds!",NA,2
"10","hasbi123412",00:00:27.230,27230,"Diamonds!",NA,1
"11","hasbi123412",00:00:27.230,27230,"Stone Age",NA,2
"12","hasbi123412",00:00:27.230,27230,"Acquire Hardware",NA,3
"13","chrisXD",00:00:27.741,27741,"Stone Age",NA,3
"14","retropog",00:00:28.281,28281,"Stone Age",NA,3
"15","silverrruns",00:00:28.421,28421,"Stone Age",NA,3
"16","waluyoshi",00:00:39.912,39912,"Acquire Hardware",NA,1
"17","waluyoshi",00:00:41.664,41664,"Diamonds!",NA,2
"18","waluyoshi",00:00:41.858,41858,"Stone Age",NA,3
"19","silverrruns",00:01:04.741,64741,"Isn't It Iron Pick",NA,4
"20","chrisXD",00:01:09.387,69387,"Getting an Upgrade",NA,4
"21","chrisXD",00:01:09.440,69440,"Isn't It Iron Pick",NA,5
"22","SuperC__",00:01:10.285,70285,"Isn't It Iron Pick",NA,4
"23","SuperC__",00:01:10.589,70589,"Getting an Upgrade",NA,5
"24","waluyoshi",00:01:17.160,77160,"Isn't It Iron Pick",NA,4
"25","silverrruns",00:01:18.522,78522,"Tactical Fishing",NA,5
"26","chrisXD",00:01:28.334,88334,"Tactical Fishing",NA,6
"27","hasbi123412",00:01:34.529,94529,"The Parrots and the Bats",NA,4
"28","SuperC__",00:01:38.170,98170,"Tactical Fishing",NA,6
"29","retropog",00:01:47.731,107731,"Isn't It Iron Pick",NA,4
"30","retropog",00:01:47.731,107731,"Getting an Upgrade",NA,5
"31","silverrruns",00:02:00.172,120172,"Fishy Business",NA,6
"32","SuperC__",00:02:00.219,120219,"Fishy Business",NA,7
"33","chrisXD",00:02:04.442,124442,"What a Deal!",NA,7
"34","waluyoshi",00:02:04.738,124738,"What a Deal!",NA,5
"35","hasbi123412",00:02:08.851,128851,"Best Friends Forever",NA,5
"36","silverrruns",00:02:11.651,131651,"What a Deal!",NA,7
"37","retropog",00:02:17.210,137210,"What a Deal!",NA,6
"38","silverrruns",00:02:18.024,138024,"Best Friends Forever",NA,8
"39","chrisXD",00:02:18.040,138040,"A Seedy Place",NA,8
"40","retropog",00:02:23.828,143828,"A Seedy Place",NA,7
"41","hasbi123412",00:02:24.618,144618,"Isn't It Iron Pick",NA,6
"42","SuperC__",00:02:28.779,148779,"Best Friends Forever",NA,8
"43","waluyoshi",00:02:31.756,151756,"A Seedy Place",NA,6
"44","SuperC__",00:02:35.118,155118,"A Seedy Place",NA,9
"45","SuperC__",00:02:37.028,157028,"What a Deal!",NA,10
"46","retropog",00:02:42.614,162614,"Tactical Fishing",NA,8
"47","chrisXD",00:02:44.536,164536,"Hot Stuff",NA,9
"48","chrisXD",00:02:53.823,173823,"We Need to Go Deeper",NA,10
"49","chrisXD",00:02:59.243,179243,"Those Were the Days",NA,11
"50","waluyoshi",00:03:02.561,182561,"Tactical Fishing",NA,7
"51","chrisXD",00:03:03.669,183669,"War Pigs",NA,12
"52","retropog",00:03:04.529,184529,"Fishy Business",NA,9
"53","chrisXD",00:03:06.438,186438,"Who is Cutting Onions?",NA,13
"54","waluyoshi",00:03:08.707,188707,"Fishy Business",NA,8
"55","silverrruns",00:03:27.992,207992,"The Parrots and the Bats",NA,9
"56","SuperC__",00:03:29.539,209539,"Hot Stuff",NA,11
"57","chrisXD",00:03:29.986,209986,"Oh Shiny",NA,14
"58","waluyoshi",00:03:41.162,221162,"The Parrots and the Bats",NA,9
"59","silverrruns",00:03:45.541,225541,"Hot Stuff",NA,10
"60","retropog",00:03:46.113,226113,"The Parrots and the Bats",NA,10
"61","retropog",00:03:47.200,227200,"Best Friends Forever",NA,11
"62","SuperC__",00:03:54.422,234422,"We Need to Go Deeper",NA,12
"63","silverrruns",00:03:59.121,239121,"We Need to Go Deeper",NA,11
"64","waluyoshi",00:04:00.084,240084,"Hot Stuff",NA,10
"65","SuperC__",00:04:01.093,241093,"Those Were the Days",NA,13
"66","SuperC__",00:04:04.640,244640,"War Pigs",NA,14
"67","SuperC__",00:04:06.190,246190,"Who is Cutting Onions?",NA,15
"68","retropog",00:04:11.207,251207,"Hot Stuff",NA,12
"69","hasbi123412",00:04:11.386,251386,"Hot Stuff",NA,7
"70","waluyoshi",00:04:11.462,251462,"We Need to Go Deeper",NA,11
"71","silverrruns",00:04:14.195,254195,"Monster Hunter",NA,12
"72","silverrruns",00:04:14.343,254343,"Return to Sender",NA,13
"73","waluyoshi",00:04:15.066,255066,"Those Were the Days",NA,12
"74","silverrruns",00:04:17.275,257274,"Those Were the Days",NA,14
