"","player","time_ms","advancement","ranked_event","n_advancements"
"1","silverrruns",24716,"Acquire Hardware",NA,1
"2","silverrruns",24863,"Stone Age",NA,2
"3","silverrruns",24864,"Diamonds!",NA,3
"4","SuperC_",25840,"Diamonds!",NA,1
"5","SuperC_",26137,"Acquire Hardware",NA,2
"6","L9_FOXGIRLPAWJOB",26550,"Acquire Hardware",NA,1
"7","L9_FOXGIRLPAWJOB",26603,"Diamonds!",NA,2
"8","L9_FOXGIRLPAWJOB",26604,"Stone Age",NA,3
"9","retropog",26800,"Acquire Hardware",NA,1
"10","retropog",27070,"Stone Age",NA,2
"11","SuperC_",27715,"Stone Age",NA,3
"12","retropog",28862,"Diamonds!",NA,3
"13","hsbi",31765,"Acquire Hardware",NA,1
"14","hsbi",32817,"Diamonds!",NA,2
"15","hsbi",33464,"Stone Age",NA,3
"16","89_89",35480,"Acquire Hardware",NA,1
"17","89_89",35481,"Diamonds!",NA,2
"18","89_89",35481,"Stone Age",NA,3
"19","silverrruns",71292,"What a Deal!",NA,4
"20","silverrruns",76558,"Isn't It Iron Pick",NA,5
"21","89_89",79451,"What a Deal!",NA,4
"22","L9_FOXGIRLPAWJOB",85702,"Best Friends Forever",NA,4
"23","hsbi",87411,"Isn't It Iron Pick",NA,4
"24","retropog",88748,"Best Friends Forever",NA,4
"25","L9_FOXGIRLPAWJOB",90493,"The Parrots and the Bats",NA,5
"26","89_89",90687,"Isn't It Iron Pick",NA,5
"27","retropog",95526,"The Parrots and the Bats",NA,5
"28","L9_FOXGIRLPAWJOB",96795,"Isn't It Iron Pick",NA,6
"29","retropog",97858,"What a Deal!",NA,6
"30","SuperC_",101748,"Isn't It Iron Pick",NA,4
"31","hsbi",103414,"Getting an Upgrade",NA,5
"32","retropog",105357,"Isn't It Iron Pick",NA,7
"33","SuperC_",105894,"Getting an Upgrade",NA,5
"34","89_89",108250,"A Seedy Place",NA,6
"35","retropog",112934,"Getting an Upgrade",NA,8
"36","SuperC_",127686,"A Seedy Place",NA,6
"37","hsbi",129953,"What a Deal!",NA,6
"38","silverrruns",130345,"Tactical Fishing",NA,6
"39","89_89",132562,"Best Friends Forever",NA,7
"40","L9_FOXGIRLPAWJOB",133989,"A Seedy Place",NA,7
"41","hsbi",136843,"Tactical Fishing",NA,7
"42","89_89",137110,"The Parrots and the Bats",NA,8
"43","silverrruns",142657,"Getting an Upgrade",NA,7
"44","L9_FOXGIRLPAWJOB",145648,"Getting an Upgrade",NA,8
"45","silverrruns",146695,"Fishy Business",NA,8
"46","retropog",149199,"Tactical Fishing",NA,9
"47","SuperC_",150593,"The Parrots and the Bats",NA,7
"48","89_89",152959,"Getting an Upgrade",NA,9
"49","retropog",155406,"Fishy Business",NA,10
"50","L9_FOXGIRLPAWJOB",159362,"What a Deal!",NA,9
"51","89_89",172103,"Tactical Fishing",NA,10
"52","SuperC_",172271,"What a Deal!",NA,8
"53","silverrruns",173441,"The Parrots and the Bats",NA,9
"54","SuperC_",173635,"Tactical Fishing",NA,9
"55","hsbi",176511,"Best Friends Forever",NA,8
"56","SuperC_",179886,"Fishy Business",NA,10
"57","89_89",185755,"Fishy Business",NA,11
"58","SuperC_",190436,"Best Friends Forever",NA,11
"59","silverrruns",195856,"Best Friends Forever",NA,10
"60","retropog",196191,"Hot Stuff",NA,11
"61","89_89",198609,"Hot Stuff",NA,12
"62","89_89",209205,"We Need to Go Deeper",NA,13
"63","L9_FOXGIRLPAWJOB",212543,"Hot Stuff",NA,10
"64","retropog",222286,"We Need to Go Deeper",NA,12
"65","L9_FOXGIRLPAWJOB",228911,"We Need to Go Deeper",NA,11
"66","hsbi",231762,"Hot Stuff",NA,9
"67","89_89",240435,NA,"reset",13
"68","hsbi",242814,"We Need to Go Deeper",NA,10
"69","SuperC_",245649,"Hot Stuff",NA,12
"70","silverrruns",248043,"Hot Stuff",NA,11
"71","SuperC_",257327,"We Need to Go Deeper",NA,13
"72","silverrruns",259259,"We Need to Go Deeper",NA,12
"73","retropog",261313,"Monster Hunter",NA,13
"74","89_89",271496,"Diamonds!",NA,14
"75","89_89",271571,"Acquire Hardware",NA,15
"76","89_89",272095,"Stone Age",NA,16
"77","hsbi",288585,"Monster Hunter",NA,11
"78","hsbi",300968,"Return to Sender",NA,12
"79","retropog",305573,"Those Were the Days",NA,14
"80","SuperC_",305641,"Monster Hunter",NA,14
"81","SuperC_",305877,"Return to Sender",NA,15
"82","L9_FOXGIRLPAWJOB",308845,"Those Were the Days",NA,12
"83","retropog",313217,"War Pigs",NA,15
"84","L9_FOXGIRLPAWJOB",313906,"War Pigs",NA,13
"85","L9_FOXGIRLPAWJOB",315995,"Ice Bucket Challenge",NA,14
"86","retropog",316988,"Ice Bucket Challenge",NA,16
"87","L9_FOXGIRLPAWJOB",317504,"Oh Shiny",NA,15
"88","retropog",317757,"Oh Shiny",NA,17
"89","89_89",325392,"Best Friends Forever",NA,17
"90","89_89",334089,"The Parrots and the Bats",NA,18
"91","silverrruns",339457,"Those Were the Days",NA,13
"92","89_89",344340,"Isn't It Iron Pick",NA,19
"93","silverrruns",344697,"War Pigs",NA,14
"94","SuperC_",349436,"Those Were the Days",NA,16
"95","89_89",352253,"What a Deal!",NA,20
"96","hsbi",352892,"Those Were the Days",NA,13
"97","SuperC_",354101,"War Pigs",NA,17
"98","hsbi",356482,"War Pigs",NA,14
"99","SuperC_",356785,"Ice Bucket Challenge",NA,18
"100","hsbi",358538,"Ice Bucket Challenge",NA,15
"101","89_89",359144,"Getting an Upgrade",NA,21
"102","SuperC_",359739,"Oh Shiny",NA,19
"103","silverrruns",360508,"Ice Bucket Challenge",NA,15
"104","silverrruns",360654,"Who is Cutting Onions?",NA,16
"105","retropog",376261,"Who is Cutting Onions?",NA,18
"106","L9_FOXGIRLPAWJOB",376546,"Who is Cutting Onions?",NA,16
"107","89_89",378444,"Tactical Fishing",NA,22
"108","89_89",390393,"Fishy Business",NA,23
"109","hsbi",393371,"Who is Cutting Onions?",NA,16
"110","L9_FOXGIRLPAWJOB",394301,"Ol' Betsy",NA,17
"111","89_89",399542,"Hot Stuff",NA,24
"112","SuperC_",399588,"Who is Cutting Onions?",NA,20
"113","retropog",400145,"Ol' Betsy",NA,19
"114","L9_FOXGIRLPAWJOB",403506,"Fishy Business",NA,18
"115","retropog",406310,"Not Today, Thank You",NA,20
