"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"1","silverrruns",2,00:00:30.014,30014,"Acquire Hardware",NA,1
"2","SuperC__",1,00:00:30.599,30599,"Acquire Hardware",NA,1
"3","SuperC__",1,00:00:30.904,30904,"Stone Age",NA,2
"4","chrisXD",4,00:00:31.012,31012,"Stone Age",NA,1
"5","silverrruns",2,00:00:31.346,31346,"Stone Age",NA,2
"6","hasbi123412",6,00:00:31.646,31646,"Stone Age",NA,1
"7","waluyoshi",5,00:00:31.819,31819,"Stone Age",NA,1
"8","waluyoshi",5,00:00:32.031,32031,"Acquire Hardware",NA,2
"9","chrisXD",4,00:00:32.060,32060,"Acquire Hardware",NA,2
"10","retropog",3,00:00:32.757,32756,"Stone Age",NA,1
"11","hasbi123412",6,00:00:32.765,32765,"Acquire Hardware",NA,2
"12","retropog",3,00:00:33.414,33414,"Acquire Hardware",NA,2
"13","SuperC__",1,00:01:21.543,81543,"Getting an Upgrade",NA,3
"14","chrisXD",4,00:01:22.853,82853,"Getting an Upgrade",NA,3
"15","waluyoshi",5,00:01:29.465,89465,"Getting an Upgrade",NA,3
"16","waluyoshi",5,00:01:29.543,89543,"Isn't It Iron Pick",NA,4
"17","silverrruns",2,00:01:31.355,91355,"A Seedy Place",NA,3
"18","retropog",3,00:01:33.727,93727,"Getting an Upgrade",NA,3
"19","chrisXD",4,00:01:37.412,97412,"Tactical Fishing",NA,4
"20","silverrruns",2,00:01:37.806,97806,"Isn't It Iron Pick",NA,4
"21","SuperC__",1,00:01:40.993,100993,"Tactical Fishing",NA,4
"22","retropog",3,00:01:48.377,108377,"Tactical Fishing",NA,4
"23","SuperC__",1,00:01:52.747,112747,"Fishy Business",NA,5
"24","hasbi123412",6,00:01:54.645,114645,"Getting an Upgrade",NA,3
"25","waluyoshi",5,00:02:14.327,134327,"What a Deal!",NA,5
"26","silverrruns",2,00:02:18.571,138571,"What a Deal!",NA,5
"27","chrisXD",4,00:02:20.566,140566,"A Seedy Place",NA,5
"28","silverrruns",2,00:02:22.501,142501,"Tactical Fishing",NA,6
"29","retropog",3,00:02:22.503,142503,"Best Friends Forever",NA,5
"30","SuperC__",1,00:02:26.643,146643,"The Parrots and the Bats",NA,6
"31","silverrruns",2,00:02:31.654,151654,"Fishy Business",NA,7
"32","chrisXD",4,00:02:35.137,155137,"What a Deal!",NA,6
"33","silverrruns",2,00:02:35.609,155609,"Best Friends Forever",NA,8
"34","retropog",3,00:02:38.429,158429,"The Parrots and the Bats",NA,6
"35","waluyoshi",5,00:02:44.376,164376,"Tactical Fishing",NA,6
"36","chrisXD",4,00:02:46.701,166701,"Isn't It Iron Pick",NA,7
"37","hasbi123412",6,00:02:48.888,168888,"A Seedy Place",NA,4
"38","SuperC__",1,00:02:49.502,169502,"Best Friends Forever",NA,7
"39","waluyoshi",5,00:02:50.599,170599,"Fishy Business",NA,7
"40","chrisXD",4,00:02:59.155,179155,"Hot Stuff",NA,8
"41","hasbi123412",6,00:03:04.806,184806,"What a Deal!",NA,5
"42","retropog",3,00:03:05.946,185946,"A Seedy Place",NA,7
"43","hasbi123412",6,00:03:09.387,189387,"Tactical Fishing",NA,6
"44","chrisXD",4,00:03:09.841,189841,"We Need to Go Deeper",NA,9
"45","SuperC__",1,00:03:16.431,196431,"What a Deal!",NA,8
"46","SuperC__",1,00:03:25.503,205503,"A Seedy Place",NA,9
"47","retropog",3,00:03:27.459,207459,"What a Deal!",NA,8
"48","waluyoshi",5,00:03:29.166,209166,"Hot Stuff",NA,8
"49","hasbi123412",6,00:03:32.136,212136,"Isn't It Iron Pick",NA,7
"50","chrisXD",4,00:03:35.505,215505,"Monster Hunter",NA,10
"51","chrisXD",4,00:03:35.562,215562,"Return to Sender",NA,11
"52","silverrruns",2,00:03:37.007,217007,"The Parrots and the Bats",NA,9
"53","waluyoshi",5,00:03:42.087,222087,"We Need to Go Deeper",NA,9
"54","SuperC__",1,00:03:42.739,222739,"Isn't It Iron Pick",NA,10
"55","retropog",3,00:03:45.839,225839,"Hot Stuff",NA,9
"56","SuperC__",1,00:03:56.152,236152,"Hot Stuff",NA,11
