"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","suravil",00:00:09.443,9443,"A Seedy Place",NA,1
"2","Snakezy",00:00:09.905,9905,"A Seedy Place",NA,1
"3","bing_pigs",00:00:10.939,10939,"A Seedy Place",NA,1
"4","Erikfzf",00:00:11.602,11602,"A Seedy Place",NA,1
"5","Boosfer",00:00:11.914,11914,"A Seedy Place",NA,1
"6","BlakWolf_",00:00:12.162,12162,"A Seedy Place",NA,1
"7","BlakWolf_",00:00:30.275,30275,"Diamonds!",NA,2
"8","BlakWolf_",00:00:30.372,30372,"Acquire Hardware",NA,3
"9","Erikfzf",00:00:30.737,30737,"Diamonds!",NA,2
"10","Snakezy",00:00:31.151,31151,"Diamonds!",NA,2
"11","BlakWolf_",00:00:31.720,31720,"Stone Age",NA,4
"12","Erikfzf",00:00:32.032,32031,"Acquire Hardware",NA,3
"13","suravil",00:00:32.062,32061,"Diamonds!",NA,2
"14","Snakezy",00:00:32.165,32165,"Acquire Hardware",NA,3
"15","suravil",00:00:32.863,32863,"Stone Age",NA,3
"16","Boosfer",00:00:32.941,32941,"Acquire Hardware",NA,2
"17","Erikfzf",00:00:33.040,33040,"Stone Age",NA,4
"18","suravil",00:00:33.136,33136,"Acquire Hardware",NA,4
"19","bing_pigs",00:00:34.270,34270,"Diamonds!",NA,2
"20","Snakezy",00:00:34.596,34596,"Stone Age",NA,4
"21","bing_pigs",00:00:35.678,35678,"Stone Age",NA,3
"22","bing_pigs",00:00:35.678,35678,"Acquire Hardware",NA,4
"23","Boosfer",00:00:37.582,37582,"Diamonds!",NA,3
"24","Boosfer",00:00:38.082,38082,"Stone Age",NA,4
"25","Erikfzf",00:01:13.208,73208,"Cover Me With Diamonds",NA,5
"26","Erikfzf",00:01:13.209,73209,"Getting an Upgrade",NA,6
"27","Erikfzf",00:01:13.209,73209,"Isn't It Iron Pick",NA,7
"28","suravil",00:01:15.203,75203,"Getting an Upgrade",NA,5
"29","Snakezy",00:01:20.105,80105,"The Parrots and the Bats",NA,5
"30","BlakWolf_",00:01:21.511,81511,"Getting an Upgrade",NA,5
"31","Snakezy",00:01:30.290,90290,"Getting an Upgrade",NA,6
"32","BlakWolf_",00:01:32.067,92067,"Tactical Fishing",NA,6
"33","Erikfzf",00:01:34.430,94430,"Best Friends Forever",NA,8
"34","suravil",00:01:39.701,99701,"Isn't It Iron Pick",NA,6
"35","Snakezy",00:01:40.654,100654,"Tactical Fishing",NA,7
"36","Erikfzf",00:01:41.378,101378,"The Parrots and the Bats",NA,9
"37","suravil",00:01:49.142,109142,"Tactical Fishing",NA,7
"38","Boosfer",00:01:49.727,109727,"The Parrots and the Bats",NA,5
