"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"1","Snakezy",1,00:00:09.011,9011,"Ice Bucket Challenge",NA,1
"2","bigbigmongey",3,00:00:11.435,11435,"Ice Bucket Challenge",NA,1
"3","suravil_",6,00:00:32.863,32863,"Stone Age",NA,1
"4","suravil_",6,00:00:33.271,33271,"Acquire Hardware",NA,2
"5","suravil_",6,00:00:33.660,33660,"Diamonds!",NA,3
"6","blakwolf_",5,00:00:35.335,35335,"Acquire Hardware",NA,1
"7","Boosfer",2,00:00:35.785,35785,"Diamonds!",NA,1
"8","Boosfer",2,00:00:35.850,35850,"Acquire Hardware",NA,2
"9","blakwolf_",5,00:00:36.540,36540,"Diamonds!",NA,2
"10","blakwolf_",5,00:00:36.669,36669,"Stone Age",NA,3
"11","Boosfer",2,00:00:37.384,37384,"Stone Age",NA,3
"12","Erikfzf",4,00:00:37.696,37696,"Acquire Hardware",NA,1
"13","Erikfzf",4,00:00:38.831,38831,"Stone Age",NA,2
"14","Snakezy",1,00:00:39.768,39768,"Diamonds!",NA,2
"15","Erikfzf",4,00:00:39.858,39858,"Diamonds!",NA,3
"16","Snakezy",1,00:00:40.591,40591,"Acquire Hardware",NA,3
"17","bigbigmongey",3,00:00:40.686,40686,"Acquire Hardware",NA,2
"18","Snakezy",1,00:00:41.168,41168,"Stone Age",NA,4
"19","bigbigmongey",3,00:00:42.133,42133,"Diamonds!",NA,3
"20","bigbigmongey",3,00:00:42.993,42993,"Stone Age",NA,4
"21","Erikfzf",4,00:01:09.608,69608,"Isn't It Iron Pick",NA,4
"22","suravil_",6,00:01:25.496,85496,"Ice Bucket Challenge",NA,4
"23","blakwolf_",5,00:01:33.223,93223,"Getting an Upgrade",NA,4
"24","blakwolf_",5,00:01:33.370,93370,"Isn't It Iron Pick",NA,5
"25","Snakezy",1,00:01:34.138,94138,"Getting an Upgrade",NA,5
"26","blakwolf_",5,00:01:37.926,97926,"A Seedy Place",NA,6
"27","Boosfer",2,00:01:43.433,103433,"A Seedy Place",NA,4
"28","suravil_",6,00:01:47.266,107266,"Isn't It Iron Pick",NA,5
"29","suravil_",6,00:01:47.294,107294,"Getting an Upgrade",NA,6
"30","Snakezy",1,00:01:52.959,112959,"Hot Stuff",NA,6
"31","Boosfer",2,00:01:53.479,113479,"Getting an Upgrade",NA,5
"32","bigbigmongey",3,00:02:00.470,120470,"The Parrots and the Bats",NA,5
"33","blakwolf_",5,00:02:05.070,125070,"The Parrots and the Bats",NA,7
"34","bigbigmongey",3,00:02:05.130,125130,"Best Friends Forever",NA,6
"35","blakwolf_",5,00:02:11.225,131225,"Tactical Fishing",NA,8
"36","Erikfzf",4,00:02:16.858,136858,"Getting an Upgrade",NA,5
"37","bigbigmongey",3,00:02:21.380,141380,"Getting an Upgrade",NA,7
"38","bigbigmongey",3,00:02:22.130,142130,"A Seedy Place",NA,8
"39","Snakezy",1,00:02:28.486,148486,"Tactical Fishing",NA,7
"40","bigbigmongey",3,00:02:29.458,149458,"Isn't It Iron Pick",NA,9
"41","Erikfzf",4,00:02:32.745,152745,"Ice Bucket Challenge",NA,6
"42","Boosfer",2,00:02:37.179,157179,"Ice Bucket Challenge",NA,6
"43","bigbigmongey",3,00:02:39.172,159172,"Tactical Fishing",NA,10
"44","Erikfzf",4,00:02:40.560,160560,"Tactical Fishing",NA,7
"45","suravil_",6,00:02:51.199,171199,"What a Deal!",NA,7
"46","Erikfzf",4,00:02:54.247,174247,"A Seedy Place",NA,8
"47","suravil_",6,00:02:54.846,174846,"Tactical Fishing",NA,8
"48","Erikfzf",4,00:02:58.791,178791,"Best Friends Forever",NA,9
"49","suravil_",6,00:03:06.246,186246,"Fishy Business",NA,9
"50","blakwolf_",5,00:03:06.579,186579,"Ice Bucket Challenge",NA,9
"51","Erikfzf",4,00:03:07.950,187950,"Fishy Business",NA,10
"52","Snakezy",1,00:03:10.312,190312,"The Parrots and the Bats",NA,8
"53","Snakezy",1,00:03:14.671,194671,"Best Friends Forever",NA,9
"54","Erikfzf",4,00:03:16.402,196402,"The Parrots and the Bats",NA,11
"55","bigbigmongey",3,00:03:23.822,203822,"Fishy Business",NA,11
"56","Snakezy",1,00:03:26.634,206634,"A Seedy Place",NA,10
"57","Boosfer",2,00:03:31.106,211106,"The Parrots and the Bats",NA,7
"58","bigbigmongey",3,00:03:33.647,213647,"Hot Stuff",NA,12
"59","suravil_",6,00:03:35.546,215546,"The Parrots and the Bats",NA,10
"60","suravil_",6,00:03:38.594,218594,"Best Friends Forever",NA,11
"61","Boosfer",2,00:03:40.178,220178,"Best Friends Forever",NA,8
"62","bigbigmongey",3,00:03:46.124,226124,"We Need to Go Deeper",NA,13
"63","blakwolf_",5,00:03:49.082,229082,"What a Deal!",NA,10
"64","suravil_",6,00:03:56.046,236046,"A Seedy Place",NA,12
"65","Boosfer",2,00:03:58.956,238956,"Tactical Fishing",NA,9
"66","Snakezy",1,00:04:02.164,242164,"What a Deal!",NA,11
"67","Erikfzf",4,00:04:09.452,249452,"What a Deal!",NA,12
"68","Boosfer",2,00:04:10.553,250553,"Fishy Business",NA,10
"69","suravil_",6,00:04:17.718,257718,"We Need to Go Deeper",NA,13
"70","Boosfer",2,00:04:22.807,262807,"What a Deal!",NA,11
"71","Snakezy",1,00:04:26.501,266501,"We Need to Go Deeper",NA,12
"72","bigbigmongey",3,00:04:36.391,276391,"Return to Sender",NA,14
"73","bigbigmongey",3,00:04:36.392,276392,"Monster Hunter",NA,15
"74","Erikfzf",4,00:04:37.057,277057,"Hot Stuff",NA,13
"75","Boosfer",2,00:04:40.979,280979,"Hot Stuff",NA,12
"76","bigbigmongey",3,00:04:45.631,285631,"Oh Shiny",NA,16
"77","bigbigmongey",3,00:04:46.395,286395,"Those Were the Days",NA,17
"78","bigbigmongey",3,00:04:47.591,287591,"War Pigs",NA,18
"79","bigbigmongey",3,00:04:49.287,289287,"Who is Cutting Onions?",NA,19
"80","Boosfer",2,00:04:57.314,297314,"We Need to Go Deeper",NA,13
"81","blakwolf_",5,00:05:00.022,300022,"Best Friends Forever",NA,11
"82","Erikfzf",4,00:05:06.186,306186,"We Need to Go Deeper",NA,14
"83","suravil_",6,00:05:12.704,312704,"Those Were the Days",NA,14
"84","Snakezy",1,00:05:22.415,322415,"Those Were the Days",NA,13
"85","blakwolf_",5,00:05:25.626,325626,"Fishy Business",NA,12
"86","Snakezy",1,00:05:26.081,326081,"War Pigs",NA,14
"87","Snakezy",1,00:05:27.758,327758,"Who is Cutting Onions?",NA,15
"88","blakwolf_",5,00:05:31.120,331120,"Hot Stuff",NA,13
"89","Boosfer",2,00:05:45.182,345182,"Those Were the Days",NA,14
"90","blakwolf_",5,00:05:46.550,346550,"We Need to Go Deeper",NA,14
"91","Erikfzf",4,00:05:48.349,348349,"Those Were the Days",NA,15
"92","suravil_",6,00:06:38.849,398849,"Oh Shiny",NA,15
"93","suravil_",6,00:06:39.116,399116,"War Pigs",NA,16
"94","bigbigmongey",3,00:06:46.704,406704,"Ol' Betsy",NA,20
"95","bigbigmongey",3,00:06:47.785,407785,"Take Aim",NA,21
"96","blakwolf_",5,00:06:52.814,412814,"Those Were the Days",NA,15
"97","bigbigmongey",3,00:06:56.132,416132,"Not Today, Thank You",NA,22
"98","suravil_",6,00:06:58.801,418801,"Who is Cutting Onions?",NA,17
"99","Boosfer",2,00:07:09.367,429367,"War Pigs",NA,15
"100","Boosfer",2,00:07:18.028,438028,"Isn't It Iron Pick",NA,16
"101","Snakezy",1,00:07:18.382,438382,"Fishy Business",NA,16
"102","Erikfzf",4,00:07:26.086,446086,"War Pigs",NA,16
"103","Boosfer",2,00:07:26.238,446238,"Take Aim",NA,17
"104","Boosfer",2,00:07:26.238,446238,"Not Today, Thank You",NA,18
"105","Erikfzf",4,00:07:27.803,447803,"Who is Cutting Onions?",NA,17
"106","Snakezy",1,00:07:32.211,452211,"Isn't It Iron Pick",NA,17
"107","bigbigmongey",3,00:07:41.439,461439,"A Terrible Fortress",NA,23
"108","Snakezy",1,00:07:42.637,462637,"Ol' Betsy",NA,18
"109","Snakezy",1,00:07:43.464,463464,"Take Aim",NA,19
"110","Boosfer",2,00:07:50.378,470378,"Who is Cutting Onions?",NA,19
"111","Snakezy",1,00:07:56.165,476165,"Not Today, Thank You",NA,20
"112","bigbigmongey",3,00:07:57.485,477485,"Into Fire",NA,24
"113","Erikfzf",4,00:08:00.576,480576,"Ol' Betsy",NA,18
"114","Erikfzf",4,00:08:01.612,481612,"Not Today, Thank You",NA,19
"115","Erikfzf",4,00:08:01.923,481923,"Take Aim",NA,20
"116","suravil_",6,00:08:08.758,488758,"A Terrible Fortress",NA,18
"117","suravil_",6,00:08:19.605,499605,"Monster Hunter",NA,19
"118","suravil_",6,00:08:23.507,503507,"Into Fire",NA,20
"119","Boosfer",2,00:08:32.468,512467,"Not Quite ""Nine"" Lives",NA,20
"120","Snakezy",1,00:08:33.642,513642,"This Boat Has Legs",NA,21
"121","Boosfer",2,00:08:44.016,524015,"Ol' Betsy",NA,21
"122","Erikfzf",4,00:08:45.157,525157,"Suit Up",NA,21
"123","Erikfzf",4,00:08:48.843,528843,"Not Quite ""Nine"" Lives",NA,22
"124","Snakezy",1,00:08:52.465,532465,"A Terrible Fortress",NA,22
"125","blakwolf_",5,00:09:03.899,543899,"War Pigs",NA,16
"126","bigbigmongey",3,00:09:06.066,546066,"Local Brewery",NA,25
"127","suravil_",6,00:09:06.957,546957,"Local Brewery",NA,21
"128","Erikfzf",4,00:09:08.229,548229,"This Boat Has Legs",NA,23
"129","blakwolf_",5,00:09:08.349,548349,"Who is Cutting Onions?",NA,17
"130","bigbigmongey",3,00:09:13.400,553400,"Not Quite ""Nine"" Lives",NA,26
"131","Snakezy",1,00:09:17.494,557494,"Monster Hunter",NA,23
"132","Boosfer",2,00:09:24.512,564512,"This Boat Has Legs",NA,22
"133","Snakezy",1,00:09:26.711,566711,"Oh Shiny",NA,24
"134","bigbigmongey",3,00:09:26.847,566847,NA,"blind_travel",26
"135","Snakezy",1,00:09:35.715,575715,"Into Fire",NA,25
"136","Erikfzf",4,00:09:36.008,576008,"Oh Shiny",NA,24
"137","Boosfer",2,00:09:48.042,588042,"A Terrible Fortress",NA,23
"138","Erikfzf",4,00:09:51.215,591215,"A Terrible Fortress",NA,25
"139","blakwolf_",5,00:09:56.398,596398,"Ol' Betsy",NA,18
"140","bigbigmongey",3,00:09:57.836,597836,"Suit Up",NA,27
"141","blakwolf_",5,00:09:57.917,597917,"Not Today, Thank You",NA,19
"142","blakwolf_",5,00:09:58.084,598084,"Take Aim",NA,20
"143","Boosfer",2,00:09:59.560,599560,"Monster Hunter",NA,24
"144","Erikfzf",4,00:10:03.056,603056,"Monster Hunter",NA,26
"145","blakwolf_",5,00:10:32.812,632812,"This Boat Has Legs",NA,21
"146","suravil_",6,00:10:37.809,637809,"Not Today, Thank You",NA,22
"147","blakwolf_",5,00:10:46.806,646806,"A Terrible Fortress",NA,22
"148","blakwolf_",5,00:10:56.250,656250,"Monster Hunter",NA,23
"149","suravil_",6,00:10:57.032,657032,NA,"blind_travel",22
"150","bigbigmongey",3,00:11:01.083,661083,"Eye Spy",NA,28
"151","Erikfzf",4,00:11:04.266,664266,"Into Fire",NA,27
"152","Snakezy",1,00:11:06.634,666634,NA,"blind_travel",25
"153","blakwolf_",5,00:11:09.958,669958,"Into Fire",NA,24
"154","bigbigmongey",3,00:11:10.222,670222,"Sweet Dreams",NA,29
"155","Snakezy",1,00:11:15.120,675120,"Sweet Dreams",NA,26
"156","blakwolf_",5,00:11:22.891,682891,"Local Brewery",NA,25
"157","Boosfer",2,00:11:23.625,683625,"Suit Up",NA,25
"158","blakwolf_",5,00:11:25.196,685196,"Not Quite ""Nine"" Lives",NA,26
"159","Boosfer",2,00:11:31.829,691829,"Into Fire",NA,26
"160","Erikfzf",4,00:11:34.299,694299,"Local Brewery",NA,28
"161","Snakezy",1,00:11:35.680,695680,"Local Brewery",NA,27
"162","Boosfer",2,00:11:36.343,696343,"Local Brewery",NA,27
"163","suravil_",6,00:11:36.699,696699,"Cover Me With Diamonds",NA,23
"164","suravil_",6,00:11:36.728,696728,"Suit Up",NA,24
"165","blakwolf_",5,00:11:38.874,698874,NA,"blind_travel",26
"166","Snakezy",1,00:11:40.210,700210,"Suit Up",NA,28
"167","Erikfzf",4,00:11:40.292,700292,NA,"blind_travel",28
"168","blakwolf_",5,00:11:41.513,701513,"Sweet Dreams",NA,27
"169","Erikfzf",4,00:11:44.580,704580,"Sweet Dreams",NA,29
"170","suravil_",6,00:11:47.346,707346,"Ol' Betsy",NA,25
"171","Boosfer",2,00:11:48.859,708859,NA,"blind_travel",27
"172","Boosfer",2,00:11:50.261,710261,"Sweet Dreams",NA,28
"173","suravil_",6,00:11:55.752,715752,"Take Aim",NA,26
"174","suravil_",6,00:11:56.651,716651,"Sweet Dreams",NA,27
"175","blakwolf_",5,00:12:04.003,724003,"Suit Up",NA,28
"176","suravil_",6,00:12:04.004,724004,NA,"eliminate",27
"177","bigbigmongey",3,00:12:53.785,773785,"The End?",NA,30
"178","Snakezy",1,00:13:24.767,804767,"Return to Sender",NA,29
