"","player","time_ms","advancement","ranked_event","n_advancements"
"1","bing_pigs",31414,"Diamonds!",NA,1
"2","BlakWolf_",31589,"Acquire Hardware",NA,1
"3","BlakWolf_",32130,"Diamonds!",NA,2
"4","BlakWolf_",32131,"Stone Age",NA,3
"5","bing_pigs",32351,"Stone Age",NA,2
"6","suravil",32469,"Stone Age",NA,1
"7","Boosfer",32832,"Stone Age",NA,1
"8","bing_pigs",33092,"Acquire Hardware",NA,3
"9","Snakezy",33103,"Acquire Hardware",NA,1
"10","suravil",33236,"Acquire Hardware",NA,2
"11","suravil",33520,"Diamonds!",NA,3
"12","Snakezy",33548,"Diamonds!",NA,2
"13","Erikfzf",34772,"Stone Age",NA,1
"14","Erikfzf",35437,"Diamonds!",NA,2
"15","Erikfzf",36180,"Acquire Hardware",NA,3
"16","Boosfer",36932,"Acquire Hardware",NA,2
"17","Boosfer",37051,"Diamonds!",NA,3
"18","Snakezy",39450,"Stone Age",NA,3
"19","Erikfzf",78075,"Isn't It Iron Pick",NA,4
"20","Snakezy",84242,"Getting an Upgrade",NA,4
"21","BlakWolf_",88149,"Getting an Upgrade",NA,4
"22","Erikfzf",98726,"What a Deal!",NA,5
"23","Erikfzf",100162,"Tactical Fishing",NA,6
"24","BlakWolf_",101649,"Tactical Fishing",NA,5
"25","suravil",104792,"A Seedy Place",NA,4
"26","bing_pigs",109261,"Best Friends Forever",NA,4
"27","Erikfzf",112462,"A Seedy Place",NA,7
"28","suravil",119720,"What a Deal!",NA,5
"29","bing_pigs",122605,"Getting an Upgrade",NA,5
"30","Snakezy",124098,"Best Friends Forever",NA,5
"31","Boosfer",134275,"Best Friends Forever",NA,4
"32","suravil",137371,"Getting an Upgrade",NA,6
"33","suravil",137401,"Isn't It Iron Pick",NA,7
"34","Snakezy",137901,"What a Deal!",NA,6
"35","bing_pigs",146812,"Isn't It Iron Pick",NA,6
"36","suravil",150830,"The Parrots and the Bats",NA,8
"37","Snakezy",155684,"A Seedy Place",NA,7
"38","BlakWolf_",159345,"A Seedy Place",NA,6
"39","suravil",162467,"Best Friends Forever",NA,9
"40","Boosfer",162676,"Getting an Upgrade",NA,5
"41","Boosfer",162709,"Isn't It Iron Pick",NA,6
"42","bing_pigs",168016,"What a Deal!",NA,7
"43","suravil",187497,"Tactical Fishing",NA,10
"44","Boosfer",188667,"What a Deal!",NA,7
"45","Boosfer",191028,"Tactical Fishing",NA,8
"46","BlakWolf_",192112,"The Parrots and the Bats",NA,7
"47","BlakWolf_",197728,"What a Deal!",NA,8
"48","Boosfer",212428,"A Seedy Place",NA,9
"49","bing_pigs",213735,"Tactical Fishing",NA,8
"50","BlakWolf_",216605,"Best Friends Forever",NA,9
"51","Erikfzf",231803,"Best Friends Forever",NA,8
"52","Snakezy",237550,"Tactical Fishing",NA,8
"53","bing_pigs",242961,"Hot Stuff",NA,9
"54","Erikfzf",250666,"The Parrots and the Bats",NA,9
"55","Snakezy",251001,"The Parrots and the Bats",NA,9
"56","BlakWolf_",251321,"Isn't It Iron Pick",NA,10
"57","bing_pigs",258914,"We Need to Go Deeper",NA,10
"58","suravil",262513,"Hot Stuff",NA,11
"59","Erikfzf",269433,"Hot Stuff",NA,10
"60","BlakWolf_",274372,"Hot Stuff",NA,11
"61","Snakezy",275944,"Hot Stuff",NA,10
"62","suravil",277289,"We Need to Go Deeper",NA,12
"63","Erikfzf",282472,"We Need to Go Deeper",NA,11
"64","BlakWolf_",287499,"We Need to Go Deeper",NA,12
"65","bing_pigs",296757,"Oh Shiny",NA,11
"66","Erikfzf",298113,"Oh Shiny",NA,12
"67","Boosfer",301681,"Hot Stuff",NA,10
"68","Boosfer",312662,"We Need to Go Deeper",NA,11
"69","Snakezy",322190,"We Need to Go Deeper",NA,11
"70","bing_pigs",323857,"The Parrots and the Bats",NA,12
"71","bing_pigs",324560,"Those Were the Days",NA,13
"72","Erikfzf",330759,"Those Were the Days",NA,13
"73","suravil",335172,"Those Were the Days",NA,13
"74","Boosfer",342728,"Oh Shiny",NA,12
"75","suravil",369366,"Oh Shiny",NA,14
"76","Boosfer",369377,"Those Were the Days",NA,13
"77","Snakezy",377351,"Those Were the Days",NA,12
"78","Erikfzf",383409,"Getting an Upgrade",NA,14
"79","Boosfer",387740,"War Pigs",NA,14
"80","Boosfer",391889,"Monster Hunter",NA,15
"81","BlakWolf_",392702,"Those Were the Days",NA,13
"82","Snakezy",406994,"Oh Shiny",NA,13
"83","bing_pigs",410710,"Who is Cutting Onions?",NA,14
"84","bing_pigs",411600,"Ice Bucket Challenge",NA,15
"85","bing_pigs",414117,"War Pigs",NA,16
"86","suravil",422670,"Who is Cutting Onions?",NA,15
"87","suravil",422697,"Suit Up",NA,16
"88","suravil",426330,"Local Brewery",NA,17
"89","suravil",429162,"War Pigs",NA,18
"90","suravil",432267,"Ice Bucket Challenge",NA,19
"91","Erikfzf",435514,"War Pigs",NA,15
"92","Erikfzf",438162,"Ice Bucket Challenge",NA,16
"93","BlakWolf_",438700,"Oh Shiny",NA,14
"94","Erikfzf",444764,"Fishy Business",NA,17
"95","bing_pigs",451117,"Local Brewery",NA,17
"96","Erikfzf",452482,"Who is Cutting Onions?",NA,18
"97","Snakezy",461452,"Ice Bucket Challenge",NA,14
"98","Snakezy",463849,"Who is Cutting Onions?",NA,15
"99","Snakezy",472424,"Monster Hunter",NA,16
"100","Snakezy",477869,"War Pigs",NA,17
"101","BlakWolf_",486700,"Who is Cutting Onions?",NA,15
"102","BlakWolf_",488101,"War Pigs",NA,16
"103","BlakWolf_",492696,"Ice Bucket Challenge",NA,17
"104","BlakWolf_",504756,"Fishy Business",NA,18
"105","BlakWolf_",511456,"Ol' Betsy",NA,19
"106","Erikfzf",514506,"Ol' Betsy",NA,19
"107","bing_pigs",517317,"Suit Up",NA,18
"108","BlakWolf_",519456,"Not Today, Thank You",NA,20
"109","Erikfzf",519668,"Not Today, Thank You",NA,20
"110","BlakWolf_",519705,"Take Aim",NA,21
"111","Erikfzf",519768,"Take Aim",NA,21
"112","bing_pigs",519960,"Fishy Business",NA,19
"113","Erikfzf",540412,"Suit Up",NA,22
"114","Boosfer",551088,"Fishy Business",NA,16
"115","suravil",555223,"A Terrible Fortress",NA,20
"116","Boosfer",556972,"Ice Bucket Challenge",NA,17
"117","Erikfzf",563219,"A Terrible Fortress",NA,23
"118","suravil",563428,"Monster Hunter",NA,21
"119","suravil",564076,"Into Fire",NA,22
