Name,Twitch,Round 1,Round 2,Round 3,Score,,Tiebreaker,<- used for seeding too,
Feinberg,Feinberg,5,5,5,15,,203,,
Snakezy,snakezy,5,5,5,15,,198,,ALL SCORES ARE NOW OFFICIAL 
Katherine,QueenKac,5,5,5,15,,188,,AND [Probably] NOT SUBJECT TO CHANGE
7rowl,7rowl,5,5,5,15,,186,,
dbowzer,dbowzer,4,5,5,14,,183,,Okay they're probably final now (official now????)
SuperC,superc__,5,4,5,14,,182,,
Joomz,Joomzmonkey,4,5,5,14,,178,,Final round top 12 scores unclear due to drop-outs changing how many players
hackingnoises,hackingnoisess,3,5,5,13,,182,,
bigbigmongey,bigbigmongey,4,4,5,13,,181,,"there were, so there were only 12 players left in game at the final elims. I've given "
Infume,infume,5,5,3,13,,180,,all 12 players 5 points but its a bit arbitrary
ChrisXD,yaboichrisxd,5,5,3,13,,[vod unclear],,
okrzej,okrzej1,5,4,3,12,,176,,all math in the sheets below with numbers right from stream overlays
Tiger,TigerMCSR,4,5,3,12,,176,,
Erikfzf,Erikfzf,5,4,3,12,,175,,
silverr,silverrruns,5,4,2,11,,170,,credit to nessa and sylv for helping and keeping me sane :D
jakkeboy3651,jakkeboy3651,5,4,2,11,,169,,
Peojii,fudge1,5,5,1,11,,156,,also shoutout V for moral support i would have become a serial killer
T_wagz,T_wagz,4,3,3,10,,168,,
Oxidiot,oxidiot,1,4,5,10,,150,,
BlakWolf,blakwolf_,0,5,5,10,,144,,
iinterp,iinterp,4,3,2,9,,162,,
retro,retropogalt,4,3,2,9,,157,,
valdaren,valdaren,4,3,2,9,,157,,
danterus,danterustv,3,3,3,9,,156,,
waluyoshi,waluyoshi,3,3,3,9,,154,,
Antoo,NottAntoo,4,3,2,9,,152,,
maskers,maskersss,3,1,5,9,,143,,
suravil,suravil_,2,4,2,8,,151,,
AutomattPL,automattpl,2,4,2,8,,150,,
dannyboy,dandannyboy,3,2,3,8,,140,,
draconix,draconix6,2,4,2,8,,[vod unclear],,maaaay have gotten 5 points round 2? no tracker on screen to count with
Boosfer,boosfer,2,2,3,7,,144,,
modestmouse,joshteautwins,3,3,1,7,,138,,
Antoine,antoine,3,4,0,7,,131,,
Frankey32,Frankey32,2,2,3,7,,[vod unclear],,
hasbi,hasbi123412,2,3,1,6,,132,,grey: in tiebreakers
,,,,,,,,,
blad_d,blad_d,2,2,2,6,,130,,
japonk86,japonk86,3,1,2,6,,130,,
dylqn,dylqnnnn,2,3,1,6,,129,,
piissii,piissii,1,2,3,6,,128,,
3tenacity,3tenacity,3,2,1,6,,127,,
Beefsalad,Beefsalad,3,2,1,6,,125,,
Fruitberries,fruitberries,2,3,1,6,,121,,
21mustard,21mustard,2,1,2,5,,,,
bribition,bribition,2,3,0,5,,,,
Podx12,Podx12,3,1,1,5,,,,
BjrLive,BjrLive,1,2,1,4,,,,
limeee_e,limeee_e,1,2,1,4,,,,
watermelon,watermelon1708,3,1,-,4,,,,
Bompkinftw,bompkinftw,1,1,1,3,,,,
Paul,paukll,1,2,0,3,,,,
xszymi11,xszymi11,2,1,-,3,,,,
zightningg,zightningg,1,2,-,3,,,,
devidow,devidow,0,2,0,2,,,,
nexlation,nexlation,1,0,1,2,,,,
ogarfield,ogarfield_,1,1,0,2,,,,
boscarvidios,boscarvidios,1,,,1,,,,
CurtisJK_,CurtisDN_,1,0,0,1,,,,
energy9802,energy9802,0,1,0,1,,,,
LiL_sinaloa,lil_sinaloa,1,0,0,1,,,,
modosu,,0,1,0,1,,,,
pure9243,pure9243,0,1,0,1,,,,
Colin_Henry,,0,0,0,0,,,,
cosierosie,,-,0,0,0,,,,
Endae,endaelive,0,0,0,0,,,,
excallburr,excallburr,0,0,,0,,,,
mariascorpse,mariascorpse,0,,0,0,,,,
mavrick,,0,0,-,0,,,,
Perspectpeiae,Perspectpeiae,0,0,0,0,,,,
shahheet85,shahheet85,,,,0,,,,
streetboys,,0,0,0,0,,,,
